,m/z,I,RelInt,S/N,Res.
3819,307.13404,9847170,0.008132991508620875,43.8,402870
3820,307.17046,7854481,0.006487186397475011,34.6,437328
3821,307.19152,1325465,0.0010947303225164356,4.4,567033
3822,307.20682,4287904,0.0035414730142550076,18.1,457472
3823,308.02008,11739889,0.009696229226178852,52.6,406729
3824,308.02821,5285621,0.004365509147378199,22.7,439417
3825,308.03264,7910135,0.006533152244456507,34.9,422829
3826,308.03531,3074808,0.0025395506886384143,12.5,383742
3827,308.03941,1667577,0.0013772880513864868,6.0,316880
3828,308.04127,1644538,0.0013582596410546743,5.9,363742
3829,308.04406,1468155,0.0012125810916577332,5.0,615739
3830,308.04792,10289917,0.008498665869017555,45.9,435187
3831,308.05203,1503743,0.0012419739935583605,5.2,432453
3832,308.05646,14693120,0.012135366830789715,66.2,410683
3833,308.0592,2716930,0.0022439714780507817,10.8,437354
3834,308.06456,3897092,0.0032186928979914377,16.3,454793
3835,308.06717,2514181,0.0020765166767848977,9.9,456466
3836,308.06908,4576006,0.0037794227114387358,19.4,426482
3837,308.07172,21979910,0.018153684905434866,99.9,407030
3838,308.0798,4680458,0.0038656918861415656,19.9,428523
3839,308.08433,10339084,0.00853927396185076,46.1,426075
3840,308.09288,6484752,0.00535589747628123,28.3,392916
3841,308.09556,1703441,0.0014069089076797344,6.1,408701
3842,308.10105,2260243,0.0018667837689833498,8.7,446503
3843,308.10539,2834197,0.0023408248394979226,11.4,402106
3844,308.10816,5644054,0.004661546744516209,24.4,405974
3845,308.12929,3725087,0.003076630233851351,15.5,411391
3846,308.13742,2058018,0.0016997617506947598,7.8,414662
3847,308.14206,1483556,0.0012253011119502915,5.1,500652
3848,308.16564,2282798,0.0018854124332063644,8.8,476452
3849,308.17372,1785649,0.0014748062798121042,6.5,450616
3850,308.17818,1508147,0.0012456113527797375,5.2,508931
3851,308.20222,1320765,0.0010908484904681903,4.4,422473
3852,308.98885,2193541,0.0018116931389233395,8.4,456126
3853,309.00409,10194059,0.008419494665511026,45.4,412886
3854,309.01537,1483664,0.0012253903114952298,5.1,462821
3855,309.02272,3451027,0.0028502781293530395,14.2,407690
3856,309.0253,2219668,0.0018332719955030208,8.5,416232
3857,309.02789,4551829,0.00375945440219822,19.3,419298
3858,309.03599,1292952,0.0010678771298814154,4.2,466763
3859,309.04051,25486490,0.02104984546367645,116.2,408033
3860,309.04316,5793948,0.004785347453673583,25.1,426686
3861,309.0511,2210975,0.001826092258057192,8.5,677507
3862,309.05187,4572319,0.003776377538085144,19.4,538695
3863,309.05579,32900256,0.027173035773674362,150.5,409622
3864,309.05707,1767585,0.0014598868299994445,6.4,846850
3865,309.05991,2713763,0.0022413557839876344,10.8,380835
3866,309.06434,2333348,0.0019271627757678094,9.0,455455
3867,309.067,8594597,0.00709846427156416,38.0,431489
3868,309.07107,1645223,0.0013588253974276632,5.9,562884
3869,309.07518,4918441,0.00406224721302189,21.0,441173
3870,309.07693,13612202,0.011242613185273748,61.2,400225
3871,309.07876,1663146,0.0013736283922788754,5.9,869999
3872,309.07961,9159851,0.007565319823180917,40.6,440789
3873,309.08756,1737902,0.0014353709958104955,6.3,585104
3874,309.08833,1576110,0.0013017434701190745,5.5,683928
3875,309.09219,20702384,0.01709854844388882,94.0,413864
3876,309.09628,1663410,0.001373846435610947,5.9,373155
3877,309.10336,2504885,0.002068838908546496,9.8,451652
3878,309.1133,8062137,0.006658693996583604,35.6,420578
3879,309.11608,2175674,0.0017969363956880215,8.3,427477
3880,309.12851,3732671,0.0030828940241181364,15.5,445398
3881,309.14961,8080584,0.00667392977441211,35.6,419388
3882,309.17408,2625746,0.0021686606326279763,10.4,471636
3883,309.186,7263447,0.005999038584112773,31.9,409393
3884,309.20719,1581792,0.001306436357288889,5.6,498744
3885,309.22247,6913255,0.005709807407806589,30.2,430546
3886,309.24356,1763567,0.001456568276559051,6.4,339629
3887,309.28007,1640702,0.0013550914053659362,5.8,450788
3888,309.99934,2083883,0.0017211242157857936,7.9,445168
3889,310.0075,2022447,0.0016703828894632428,7.6,466663
3890,310.01197,3674673,0.003034992216642791,15.3,422165
3891,310.018,1614899,0.0013337801474210705,5.7,393417
3892,310.02723,3542583,0.002925896217652855,14.6,428222
3893,310.0358,18560570,0.01532957775738241,84.1,422042
3894,310.03842,1309500,0.0010815444823780878,4.3,478629
3895,310.04394,5205566,0.00429938998469261,22.3,431093
3896,310.04656,1593407,0.001316029437978329,5.6,396806
3897,310.04836,4632128,0.0038257750897816322,19.7,408515
3898,310.05107,26494528,0.021882405934793247,120.8,418661
3899,310.05914,7581252,0.006261520633919698,33.3,421202
3900,310.06365,18544198,0.01531605576710712,84.0,422955
3901,310.06628,1788999,0.001477573117548619,6.5,392868
3902,310.07036,2253897,0.0018615424697965063,8.7,443556
3903,310.0722,7980618,0.006591365684511074,35.2,407062
3904,310.07486,3069003,0.0025347562130979755,12.4,369922
3905,310.08027,2677325,0.0022112608486314733,10.6,457843
3906,310.08301,1743438,0.0014399432984103008,6.3,524835
3907,310.08476,2112079,0.001744411904388415,8.0,419214
3908,310.0874,20158032,0.016648956307904493,91.5,414851
3909,310.09551,4554324,0.0037615150768706396,19.3,465378
3910,310.09996,5770837,0.004766259576978478,24.9,402592
3911,310.10843,3582553,0.0029589083084971867,14.8,442582
3912,310.11646,1586012,0.0013099217469151859,5.6,337970
3913,310.1211,1243486,0.0010270220864562038,4.0,530864
3914,310.12369,3650143,0.0030147323570378012,15.1,439582
3915,310.13175,1408867,0.0011636138451734017,4.8,415748
3916,310.13637,1267813,0.0010471142839535783,4.1,521676
3917,310.14478,2535016,0.002093724755662597,10.0,457378
3918,310.15299,1419884,0.0011727130246788307,4.8,521880
3919,310.15744,1888365,0.0015596416544222205,7.0,431264
3920,310.18137,1694839,0.0013998043291097335,6.1,493321
3921,310.18948,1905275,0.0015736079905787792,7.1,436524
3922,310.22575,1608842,0.0013287775396091084,5.7,407184
3923,310.98348,1256904,0.0010381043039930874,4.1,341802
3924,311.00205,4002768,0.0033059730008702364,16.8,452098
3925,311.00448,1573841,0.0012998694537536557,5.5,503890
3926,311.00733,1468882,0.0012131815367426425,5.0,496927
3927,311.01758,1977302,0.0016330966537572798,7.4,492604
3928,311.01983,22767576,0.018804235356948282,103.6,422526
3929,311.03112,4875228,0.0040265566580642695,20.8,424577
3930,311.03271,1888477,0.0015597341576540087,7.0,377740
3931,311.03507,18708446,0.015451711756524177,84.8,416359
3932,311.03916,2858463,0.002360866655770841,11.5,407965
3933,311.04112,1301216,0.001074702546912628,4.3,397387
3934,311.0463,6610915,0.005460098237281815,28.8,454418
3935,311.05028,1613028,0.0013322348478971837,5.7,442040
3936,311.0544,5429222,0.0044841123311994855,23.4,378584
3937,311.05617,15775718,0.013029508024782501,71.2,404616
3938,311.05883,12855272,0.010617448263512429,57.7,408983
3939,311.0668,2979819,0.0024610972110999554,12.0,539443
3940,311.06754,2355179,0.001945193472671052,9.1,568500
3941,311.07137,48400364,0.03997491151530434,222.2,406209
3942,311.08257,7286770,0.006018301556210905,32.0,408036
3943,311.08668,1941491,0.001603519571314789,7.2,525101
3944,311.09066,4327413,0.0035741043551899263,18.3,438039
3945,311.09247,6881270,0.005683390301835712,30.1,397611
3946,311.09516,5626871,0.004647354931732168,24.3,387037
3947,311.10313,1871354,0.0015455919001727105,6.9,454775
3948,311.10776,13342716,0.01102003884668792,60.0,401080
3949,311.11877,1383425,0.0011426007449667095,4.6,444200
3950,311.12893,6516741,0.005382317885938956,28.4,431154
3951,311.14419,3011084,0.0024869196534379094,12.2,426274
3952,311.16537,8941588,0.007385051672468975,39.6,416818
3953,311.16873,12625942,0.010428039637209438,56.7,409614
3954,311.20172,6462500,0.00533751906633707,28.1,397910
3955,311.23801,3711027,0.0030650177745751113,15.4,438254
3956,311.29563,2080843,0.0017186134137801203,7.9,445718
3957,311.9913,1462640,0.001208026133413888,5.0,418808
3958,311.9973,3180915,0.002627186763775254,13.0,433311
3959,312.01505,9707898,0.008017963739892536,43.2,428909
3960,312.02315,3694974,0.003051759253326073,15.3,459542
3961,312.02763,3122048,0.0025785672303318403,12.7,320037
3962,312.03031,7838081,0.0064736412813917715,34.5,424669
3963,312.03834,4337028,0.003582045592454581,18.3,447773
3964,312.04282,15645062,0.012921596397528134,70.6,412381
3965,312.05136,11096458,0.00916480559285238,49.6,393835
3966,312.05407,2869131,0.002369677588598645,11.5,439089
3967,312.0594,2803597,0.0023155516350987096,11.2,449905
3968,312.06659,41396624,0.034190370581351916,189.8,403503
3969,312.07382,1625491,0.0013425283101987328,5.8,912656
3970,312.07469,9943444,0.008212506295559759,44.3,421627
3971,312.07917,15583637,0.01287086415634442,70.3,408583
3972,312.08189,3288471,0.002716019599473351,13.5,461012
3973,312.08779,4452761,0.0036776319899949114,18.8,414858
3974,312.0904,1435546,0.0011856486105383233,4.9,568136
3975,312.09855,1419678,0.001172542884806078,4.8,533043
3976,312.10302,11153823,0.00921218459188378,49.9,422969
3977,312.11118,4021667,0.003321582095312743,16.9,433169
3978,312.11559,2929061,0.0024191750768223328,11.8,477566
3979,312.12419,1945000,0.0016064177306035746,7.2,406721
3980,312.13234,1290924,0.0010662021606486832,4.2,432837
3981,312.13679,1468334,0.0012127289316442515,5.0,450279
3982,312.13951,2282927,0.001885518977107263,8.8,490963
3983,312.16066,1824184,0.0015066331729991522,6.7,532826
3984,312.16881,1306043,0.0010786892710183467,4.3,563094
3985,312.17205,2277309,0.0018808789489270417,8.8,493680
3986,312.20501,1713099,0.001414885659578022,6.2,572382
3987,312.53287,1327701,0.0010965770834653454,4.4,342573
3988,312.98128,1318675,0.0010891223140892898,4.3,539028
3989,312.98384,2504468,0.0020684944991924284,9.8,432593
3990,312.99907,4890395,0.004039083412676128,20.9,425250
3991,313.00015,1519003,0.0012545775588894714,5.3,363794
3992,313.01037,1942303,0.0016041902197452516,7.2,429075
3993,313.01176,1758496,0.0014523800275555083,6.4,477498
3994,313.01433,2518305,0.0020799227779268042,9.9,358277
3995,313.01767,2157346,0.0017817989025432901,8.2,360298
3996,313.02049,1373732,0.0011345950858084883,4.6,408941
3997,313.03299,1685801,0.0013923396486731294,6.0,406487
3998,313.03538,20261674,0.016734556486020284,92.0,396854
3999,313.03807,6982443,0.005766951279243607,30.5,408025
4000,313.0459,2716462,0.0022435849466893817,10.8,562777
4001,313.04673,5780271,0.00477405132241319,25.0,498220
4002,313.05063,62638896,0.05173482424670094,288.1,402134
4003,313.05462,1684786,0.001391501338135051,6.0,479760
4004,313.06187,11713333,0.009674296049184555,52.4,404911
4005,313.06588,5855031,0.004835797229631659,25.3,409660
4006,313.06995,8596280,0.007099854297806117,38.0,413245
4007,313.07173,6679353,0.005516622667434539,29.1,410522
4008,313.07442,12286778,0.01014791672554752,55.1,412571
4009,313.07707,1767227,0.001459591150026408,6.4,437790
4010,313.08253,3409726,0.0028161667367095134,14.0,470606
4011,313.08704,30198592,0.024941672816484968,138.0,406932
4012,313.09826,3307333,0.0027315981348124997,13.5,391059
4013,313.10638,2592584,0.0021412714168016133,10.2,423241
4014,313.10818,4325193,0.0035722708089884147,18.3,435492
4015,313.11084,2108234,0.0017412362354042655,8.0,538844
4016,313.12346,10105679,0.008346499704569769,45.0,412854
4017,313.14461,6798168,0.005614754555692464,29.7,410611
4018,313.15991,2537311,0.0020956202459925383,10.0,422350
4019,313.18096,11174759,0.009229476088854431,49.9,420781
4020,313.21733,6329207,0.005227429483527125,27.5,424846
4021,313.25374,2582918,0.0021332880575296266,10.2,419219
4022,313.37144,1320120,0.001090315770963697,4.4,389473
4023,314.01441,1550793,0.0012808336101264315,5.4,253812
4024,314.0221,4483277,0.0037028358169702838,19.0,412172
4025,314.02824,2347215,0.0019386158321535577,9.1,389924
4026,314.03067,16760016,0.013842461114447095,75.8,405743
4027,314.03877,3798228,0.0031370389738174568,15.8,450193
4028,314.04353,1636822,0.001351886829121853,5.8,300209
4029,314.04589,33238230,0.027452175838498537,152.0,398687
4030,314.05402,13561050,0.011200365637841441,61.0,408241
4031,314.05847,23330012,0.019268763461179516,106.2,408215
4032,314.06119,5779678,0.004773561550837741,25.0,395261
4033,314.06529,2575583,0.002127229921769227,10.2,408020
4034,314.06702,3688672,0.003046554294694575,15.3,388147
4035,314.06981,4510945,0.003725687418908762,19.1,474338
4036,314.07375,2366179,0.0019542786115073706,9.2,451135
4037,314.07774,3096804,0.0025577176626242018,12.6,468940
4038,314.08229,22875366,0.01889326145832708,104.1,405756
4039,314.0904,6874346,0.005677671619899106,30.0,407685
4040,314.09486,8305900,0.006860023150961558,36.7,411802
4041,314.09762,2044653,0.0016887233070086328,7.7,467083
4042,314.10338,1814255,0.0014984325963168063,6.6,509744
4043,314.11604,1379829,0.0011396307304889458,4.6,492705
4044,314.11872,7621878,0.006295074529407358,33.5,404560
4045,314.1269,2503929,0.0020680493273894486,9.8,470022
4046,314.1313,2346747,0.0019382293007921578,9.1,463863
4047,314.13988,1780991,0.0014709591364757794,6.5,476050
4048,314.14789,1346818,0.0011123662288411544,4.5,606248
4049,314.15231,1656836,0.0013684168262736783,5.9,358240
4050,314.15512,1363973,0.001126534915817249,4.6,528261
4051,314.17618,1837838,0.0015179103080601606,6.7,413219
4052,314.18438,2811154,0.00232179312547926,11.2,450194
4053,314.18886,1974036,0.0016303991934446056,7.4,439232
4054,314.25696,1580849,0.001305657513114103,5.6,388613
4055,314.9919,1302122,0.0010754508319840554,4.3,491206
4056,314.99696,2408044,0.001988855823996686,9.4,440091
4057,315.01233,2700915,0.002230744341826814,10.7,362802
4058,315.01471,23166580,0.019133781423879774,105.4,402204
4059,315.02597,13639289,0.011264984926697325,61.3,422305
4060,315.02996,26840698,0.022168315253972188,122.4,403759
4061,315.03402,2965116,0.002448953684162647,12.0,485050
4062,315.04115,5503615,0.004545555125149508,23.7,432542
4063,315.04523,3128961,0.00258427682712961,12.7,360698
4064,315.04931,6618755,0.005466573463506973,28.9,427687
4065,315.05107,5680771,0.004691872112030128,24.5,382302
4066,315.05374,16592516,0.013704119227621336,75.0,409102
4067,315.05646,1733766,0.0014319549836080397,6.3,291324
4068,315.0618,5533320,0.004570089129616129,23.8,467231
4069,315.06631,44953224,0.037127843743647373,206.2,399895
4070,315.06888,3169419,0.002617691967769589,12.9,388500
4071,315.07756,6448783,0.005326189898208181,28.1,421761
4072,315.08155,7997073,0.0066049562262884935,35.2,412471
4073,315.0856,5208722,0.004301996593616922,22.3,416233
4074,315.08739,3442835,0.00284351217868512,14.2,373967
4075,315.09012,5576340,0.004605620281683259,24.0,409071
4076,315.09813,1454231,0.001201080957734379,5.0,446366
4077,315.10268,19254938,0.015903071364973025,87.3,406911
4078,315.11393,2086558,0.001723333556366444,7.9,463689
4079,315.12207,1340834,0.0011074239133141972,4.4,479529
4080,315.12383,4031138,0.0033294043998508133,16.9,424314
4081,315.13913,8050345,0.006648954727751071,35.5,406780
4082,315.16025,5613234,0.00463609183734027,24.2,432722
4083,315.17551,2402489,0.0019842678288843453,9.4,470521
4084,315.19663,7075522,0.005843827246311396,31.0,402856
4085,315.23297,3268817,0.002699786934137987,13.4,355869
4086,315.26929,1816545,0.0015003239570381853,6.6,368809
4087,315.99207,1603606,0.001324453013523021,5.5,434433
4088,316.00998,15331358,0.012662501452663733,67.7,403780
4089,316.01807,3310625,0.002734317069089696,13.3,407766
4090,316.02005,1659426,0.001370555963508775,5.8,468282
4091,316.02132,1792547,0.001480503487784188,6.4,469611
4092,316.02256,1532931,0.001266080996499675,5.2,275270
4093,316.02522,9173028,0.007576202993585114,39.8,412983
4094,316.02934,2272294,0.0018767369515393928,8.6,370178
4095,316.03337,5879848,0.004856294128768106,24.9,412148
4096,316.0378,21704746,0.01792642098336607,96.5,400224
4097,316.04039,1678635,0.001386421093682124,5.9,444159
4098,316.04388,2127916,0.0017574920265475762,7.9,470435
4099,316.04632,5780526,0.00477426193244985,24.4,421457
4100,316.04908,4288559,0.003542013992976625,17.7,446964
4101,316.0531,3715120,0.0030683982721439345,15.1,421949
