,m/z,I,RelInt,S/N,Res.
3693,295.53696,1357193,0.0009108938711935008,4.5,478249
3694,295.54071,1390476,0.0009332320948027689,4.6,498108
3695,295.55132,1863314,0.0012505821225935049,6.8,486660
3696,295.76222,1315595,0.0008829749508528365,4.3,660076
3697,295.99613,2475409,0.0016613959008020473,9.5,387618
3698,296.0047,1460886,0.0009804884816768055,4.9,412111
3699,296.00671,2595735,0.0017421539182286246,10.1,474560
3700,296.01285,3632539,0.002438015456881496,14.8,428667
3701,296.01447,3959196,0.0026572546213057564,16.3,418341
3702,296.02004,4860319,0.00326205247827341,20.4,375702
3703,296.02499,3749282,0.0025163687074543644,15.3,433734
3704,296.02818,3256227,0.0021854498347064857,13.1,429263
3705,296.03267,11100582,0.0074502683925432075,48.8,422286
3706,296.03548,1997480,0.001340628996636141,7.4,406193
3707,296.04121,7290283,0.004892947505598813,31.5,385743
3708,296.04319,4220844,0.002832862334880788,17.5,396646
3709,296.04847,1591727,0.001068303748187043,5.5,330836
3710,296.04936,4529584,0.003040076322716181,18.9,465209
3711,296.05384,1753266,0.0011767222892926387,6.3,408992
3712,296.05648,8907188,0.0059781497242973524,38.8,407349
3713,296.06145,1962167,0.0013169283179018296,7.2,298118
3714,296.0646,3170232,0.002127733416736982,12.7,428822
3715,296.06905,5062075,0.0033974630675385454,21.3,448380
3716,296.07185,1591229,0.0010679695104273035,5.5,443378
3717,296.07756,7093696,0.004761006143201337,30.6,419777
3718,296.07964,1267137,0.0008504518718137501,4.0,423540
3719,296.08564,5421509,0.0036387008485310535,23.0,429697
3720,296.09276,2436553,0.0016353173016204314,9.4,417950
3721,296.10531,1991888,0.001336875869020751,7.3,400599
3722,296.11383,3004885,0.0020167590977416498,12.0,450663
3723,296.12203,3952089,0.002652484686047785,16.3,395477
3724,296.12505,1395675,0.0009367214564752318,4.6,335885
3725,296.15027,1412842,0.0009482432629440089,4.7,471239
3726,296.1585,1413358,0.0009485895815866305,4.7,423600
3727,296.52669,1458115,0.0009786286968731135,4.9,510115
3728,296.54836,1576655,0.0010581880222537172,5.4,485328
3729,296.56308,1410008,0.0009463411950502293,4.7,507644
3730,296.9887,2355150,0.0015806828511061976,9.0,390586
3731,297.00398,11824087,0.0079358561241907,52.1,387534
3732,297.00751,2034137,0.0013652317146256533,7.5,367662
3733,297.01459,2653149,0.001780687907661744,10.3,404591
3734,297.0223,3616738,0.0024274104551914428,14.7,441151
3735,297.02522,13831139,0.009282909465879507,61.2,401047
3736,297.02782,2155493,0.0014466810270171541,8.1,464499
3737,297.03285,3880424,0.0026043859931727978,15.9,394316
3738,297.03595,1471466,0.0009875893561708733,5.0,738558
3739,297.03664,1592810,0.0010690306146404528,5.5,625241
3740,297.04052,27216876,0.018266882854121327,122.2,416368
3741,297.05176,5027827,0.0033744771743747615,21.2,425924
3742,297.05576,4760565,0.0031951015676608178,19.9,433647
3743,297.05873,1425783,0.0009569287465761194,4.8,376317
3744,297.06163,27929592,0.018745229438801282,125.4,416200
3745,297.06429,2688506,0.0018044181174431007,10.5,405299
3746,297.06919,1935869,0.0012992781480109985,7.1,502326
3747,297.07297,3559423,0.002388942910614175,14.5,523051
3748,297.07687,13149185,0.008825209110045154,58.1,410847
3749,297.08031,1358339,0.0009116630207369981,4.5,540539
3750,297.0827,10277893,0.006898112311574391,45.1,401776
3751,297.08806,2443272,0.0016398268267362763,9.4,434083
3752,297.09198,1563658,0.0010494649536526399,5.4,493841
