,m/z,I,I %,Res.,S/N
17143,514.20718,7805213,0.1,381999,4.2
17144,514.25807,7939613,0.1,502200,4.3
17145,514.32832,7987071,0.1,472334,4.3
17146,514.36243,8440875,0.1,450267,4.7
17147,514.56748,9125939,0.1,272948,5.3
17148,514.78367,7745652,0.1,484272,4.1
17149,514.82444,8307008,0.1,526508,4.6
17150,514.8897,8259209,0.1,347428,4.5
17151,515.00015,8285877,0.1,356858,4.6
17152,515.02554,14117172,0.2,468669,9.4
17153,515.03859,10554742,0.1,355554,6.5
17154,515.04092,20388225,0.2,479882,14.7
17155,515.06194,18471403,0.2,520468,13.1
17156,515.07721,33262136,0.4,409352,25.4
17157,515.08863,8333937,0.1,573654,4.6
17158,515.09838,21465763,0.2,470065,15.6
17159,515.10952,8485595,0.1,461175,4.7
17160,515.11349,15676142,0.2,450091,10.7
17161,515.13479,27229017,0.3,441383,20.4
17162,515.14906,13177762,0.1,456829,8.7
17163,515.17108,20438032,0.2,440085,14.7
17164,515.20738,17562822,0.2,475427,12.3
17165,515.22877,8227122,0.1,495729,4.5
17166,515.24381,12731773,0.1,444713,8.3
17167,515.26495,15351272,0.2,517005,10.5
17168,515.30137,17796767,0.2,469537,12.5
17169,515.31634,9447147,0.1,542874,5.5
17170,515.36527,9348064,0.1,333908,5.4
17171,515.62162,7844840,0.1,253858,4.2
17172,515.98023,7911408,0.1,439061,4.2
17173,516.03615,12789000,0.1,341355,8.3
17174,516.04165,8906020,0.1,367568,5.1
17175,516.05728,11513202,0.1,457113,7.3
17176,516.06636,8133536,0.1,236799,4.4
17177,516.07072,10258869,0.1,208546,6.2
