,m/z,I,I %,Res.,S/N
104,207.22775,5028246,0.1,1163245,4.3
105,207.23765,4864262,0.1,439913,4.1
106,207.26106,4841733,0.1,934696,4.0
107,207.3242,5029525,0.1,1088197,4.3
108,207.32528,5096240,0.1,445271,4.4
109,207.33652,5130483,0.1,1027604,4.4
110,207.34185,5187376,0.1,1181881,4.5
111,207.37624,5077452,0.1,990171,4.4
112,207.37717,6069916,0.1,1153197,5.7
113,207.37943,5006274,0.1,1054978,4.3
114,207.38733,4954512,0.1,1375163,4.2
115,207.39022,5305332,0.1,1048875,4.7
116,207.40676,5023893,0.1,1114296,4.3
117,207.40706,5626744,0.1,1242550,5.1
118,207.41031,5364985,0.1,1133450,4.8
119,207.41413,4975323,0.1,929761,4.2
120,207.42888,5222429,0.1,1084397,4.6
121,207.43507,4836371,0.1,989997,4.0
122,207.44084,5433469,0.1,1109534,4.8
123,207.44279,5373407,0.1,941987,4.8
124,207.46683,5712948,0.1,1194466,5.2
125,207.48663,5398116,0.1,1119490,4.8
126,207.50046,4872409,0.1,1345368,4.1
127,207.51729,5165047,0.1,806837,4.5
128,207.52426,5004750,0.1,1088260,4.3
129,207.54031,5027447,0.1,1095868,4.3
130,207.54316,5080784,0.1,822303,4.4
131,207.55776,4875744,0.1,736890,4.1
132,207.56317,5467916,0.1,1204617,4.9
133,207.61124,4929499,0.1,1101311,4.2
134,207.61986,5150363,0.1,844761,4.5
135,207.6244,5268107,0.1,1187109,4.6
136,207.63549,5353042,0.1,917587,4.7
137,207.64783,7630387,0.2,915039,7.8
138,207.68265,5092909,0.1,1150982,4.4
139,207.69184,5292200,0.1,1083355,4.7
140,207.69516,4929041,0.1,1226488,4.2
141,207.69997,4986984,0.1,1143666,4.2
142,207.73685,5259813,0.1,1118445,4.6
143,207.73967,4988828,0.1,911334,4.2
144,207.747,6098729,0.1,658555,5.7
145,207.75597,5641523,0.1,1139670,5.1
146,207.75743,4892205,0.1,1351847,4.1
147,207.75822,5272407,0.1,760180,4.6
148,207.78629,5103206,0.1,1214309,4.4
149,207.7902,5671978,0.1,1038444,5.2
150,207.80294,6161041,0.1,1215432,5.8
151,207.81683,5063400,0.1,606431,4.3
152,207.82934,6033710,0.1,992184,5.7
153,207.83669,5384061,0.1,923110,4.8
154,207.84741,5183311,0.1,850048,4.5
155,207.85035,6328590,0.1,998844,6.1
156,207.852,4944525,0.1,740794,4.2
157,207.85975,4940966,0.1,1341965,4.2
158,207.86239,4863586,0.1,977123,4.1
159,207.86862,5121881,0.1,1285690,4.4
160,207.87665,5262189,0.1,1145966,4.6
161,207.88484,5024786,0.1,1091658,4.3
162,207.88971,5968296,0.1,833522,5.6
163,207.89382,5072136,0.1,663786,4.4
164,207.89564,5151567,0.1,1134214,4.5
165,207.89926,5845382,0.1,930039,5.4
166,207.90495,4987963,0.1,1439774,4.2
167,207.92147,5191079,0.1,946811,4.5
168,207.92557,5511374,0.1,1364936,5.0
169,207.93994,4889848,0.1,1266435,4.1
170,207.9442,5091731,0.1,1204892,4.4
171,207.96807,5169804,0.1,1257451,4.5
172,207.97992,5032757,0.1,1028685,4.3
173,207.98436,5044987,0.1,1062106,4.3
174,207.98491,5267317,0.1,1257497,4.6
175,207.98781,5029027,0.1,1273383,4.3
176,207.99217,5412373,0.1,1141914,4.8
177,208.01409,4888704,0.1,1054567,4.1
178,208.01515,5118922,0.1,1044718,4.4
179,208.0222,5378736,0.1,1046167,4.8
180,208.048,4975767,0.1,988349,4.2
181,208.05341,6027569,0.1,1228302,5.7
182,208.06026,5097728,0.1,562665,4.4
183,208.10556,5917907,0.1,893741,5.5
184,208.11927,5477533,0.1,783920,4.9
185,208.12138,5631684,0.1,932455,5.1
186,208.12576,6039140,0.1,1164275,5.7
187,208.14195,5328306,0.1,1163998,4.7
188,208.16834,5320457,0.1,1176820,4.7
189,208.17159,5290671,0.1,810233,4.7
190,208.17652,4938834,0.1,1133671,4.2
191,208.17908,5072723,0.1,773490,4.4
192,208.1977,4927012,0.1,1312913,4.2
193,208.20149,5509631,0.1,1013226,4.9
194,208.20326,5240549,0.1,1237794,4.6
195,208.20647,5823136,0.1,1174971,5.4
196,208.23814,5303485,0.1,643636,4.7
197,208.24622,6560019,0.1,966499,6.4
198,208.26017,4811103,0.1,771815,4.0
199,208.26802,5069303,0.1,737481,4.4
200,208.27851,5627953,0.1,844104,5.1
201,208.28264,5160717,0.1,1285003,4.5
202,208.29427,4922907,0.1,1090130,4.2
203,208.29469,5475073,0.1,1165161,4.9
204,208.29599,5180203,0.1,1019851,4.5
205,208.30097,4884735,0.1,1393813,4.1
206,208.31004,5807912,0.1,930372,5.4
207,208.31211,5109868,0.1,486610,4.4
208,208.31419,14933050,0.3,1064399,17.7
209,208.32064,6614363,0.1,931288,6.4
210,208.32601,4991239,0.1,895459,4.2
211,208.33915,5339907,0.1,1211035,4.7
212,208.34162,6050086,0.1,1014940,5.7
213,208.34338,4857895,0.1,1167377,4.1
214,208.34651,5556143,0.1,969254,5.0
215,208.36759,4998069,0.1,1443829,4.3
216,208.37389,4915879,0.1,1214273,4.1
217,208.39191,5639890,0.1,1122646,5.1
218,208.42271,5338173,0.1,964320,4.7
219,208.43451,4881882,0.1,1316530,4.1
220,208.43855,4813764,0.1,617349,4.0
221,208.43935,5540601,0.1,997658,5.0
222,208.44201,6193911,0.1,1176343,5.9
