,m/z,I,I %,Res.,S/N
9329,330.36924,7485521,1.3,643802,5.7
9330,330.3749,6009694,1.0,671800,4.1
9331,330.4205,6911176,1.2,814929,5.0
9332,330.42488,5950930,1.0,783793,4.0
9333,330.49245,6058095,1.0,502834,4.1
9334,330.67651,6513052,1.1,497251,4.6
9335,330.75105,6562890,1.1,458208,4.7
9336,330.7874,6427679,1.1,357745,4.5
9337,330.8043,6687302,1.2,786727,4.8
9338,330.90152,6137130,1.1,705085,4.2
9339,330.95024,6653340,1.2,808573,4.8
9340,330.98843,6225654,1.1,537795,4.3
9341,331.00954,52378663,9.1,517669,54.0
9342,331.01714,10065977,1.7,748401,8.4
9343,331.02086,8656450,1.5,379300,6.9
9344,331.02479,19878987,3.4,489814,19.0
9345,331.02744,11092049,1.9,702789,9.5
9346,331.02881,6431317,1.1,912622,4.5
9347,331.03159,6860123,1.2,646845,5.0
9348,331.03628,6318182,1.1,896203,4.4
9349,331.04448,16020601,2.8,616891,14.8
9350,331.04504,15733883,2.7,850037,14.5
9351,331.04592,192978045,33.4,491457,205.2
9352,331.05125,6055049,1.0,515348,4.1
9353,331.05717,31962263,5.5,518231,32.0
9354,331.06115,20784288,3.6,567123,20.0
9355,331.0653,11427498,2.0,520518,9.9
9356,331.06701,12363950,2.1,572215,10.9
9357,331.06853,6090418,1.1,999561,4.2
9358,331.07823,7258057,1.3,689300,5.4
9359,331.08011,9823437,1.7,610995,8.2
9360,331.08229,166591698,28.8,483187,176.8
9361,331.08558,6556634,1.1,629206,4.7
9362,331.09272,6970603,1.2,1099472,5.1
9363,331.09354,33484013,5.8,468145,33.6
9364,331.09544,6724337,1.2,789812,4.8
9365,331.09757,11591926,2.0,774248,10.1
9366,331.10154,7951104,1.4,704670,6.2
9367,331.10333,16976132,2.9,451298,15.9
9368,331.11306,6299675,1.1,738405,4.4
9369,331.11399,6827805,1.2,661189,4.9
9370,331.11484,11266335,2.0,813749,9.7
9371,331.11773,11363621,2.0,768307,9.8
9372,331.11873,90352936,15.6,465257,94.8
9373,331.12214,6356784,1.1,821632,4.4
9374,331.12989,17305922,3.0,573818,16.2
9375,331.1385,6701654,1.2,472902,4.8
9376,331.13986,27843929,4.8,558400,27.6
