,m/z,I,I %,Res.,S/N
326,209.34823,4987065,0.1,1043326,4.0
327,209.35266,5651480,0.2,581701,4.9
328,209.38028,5285956,0.2,1067609,4.4
329,209.38428,5717933,0.2,1087315,5.0
330,209.39631,6335214,0.2,774569,5.8
331,209.43635,6639768,0.2,1078313,6.2
332,209.44944,5578940,0.2,1349674,4.8
333,209.45192,5327655,0.2,1053445,4.5
334,209.45299,5438004,0.2,934810,4.6
335,209.45442,5315864,0.2,964367,4.4
336,209.45793,5540177,0.2,880130,4.7
337,209.4605,5584296,0.2,963593,4.8
338,209.46514,5769506,0.2,898173,5.0
339,209.4701,6111439,0.2,1100185,5.5
340,209.47373,5278493,0.2,1254685,4.4
341,209.48233,5779834,0.2,1016410,5.1
342,209.48776,5529230,0.2,1399356,4.7
343,209.49838,5419887,0.2,1549004,4.6
344,209.50898,5151189,0.1,902485,4.2
345,209.51115,6462674,0.2,1178102,5.9
346,209.519,5158935,0.2,1376683,4.2
347,209.52052,6789275,0.2,911822,6.4
348,209.52937,5456188,0.2,1155659,4.6
349,209.54013,5024674,0.1,904075,4.1
350,209.54522,5291338,0.2,1377645,4.4
351,209.55048,5224650,0.2,1306821,4.3
352,209.55394,5045221,0.1,1287190,4.1
353,209.55974,5112793,0.1,1127893,4.2
354,209.56469,5129155,0.1,1175240,4.2
355,209.57984,5025330,0.1,1077255,4.1
356,209.5906,5256616,0.2,1108982,4.4
357,209.59378,5893899,0.2,1017346,5.2
358,209.59508,5126513,0.1,1240029,4.2
359,209.60009,5015315,0.1,1036476,4.0
360,209.62673,5646481,0.2,1299233,4.9
361,209.63041,5431466,0.2,985279,4.6
362,209.64867,5416162,0.2,1090984,4.6
363,209.65459,5044285,0.1,1291052,4.1
364,209.65896,5300324,0.2,1201234,4.4
365,209.66037,5348457,0.2,965779,4.5
366,209.6638,4991302,0.1,1213695,4.0
367,209.66441,5325678,0.2,1194757,4.5
368,209.67395,6053595,0.2,718941,5.4
369,209.68267,5992312,0.2,966557,5.3
370,209.68743,5488121,0.2,532318,4.7
371,209.71041,5677838,0.2,937414,4.9
