,m/z,I,I %,Res.,S/N
2934,231.24841,6419679,0.1,1198466,5.8
2935,231.25074,5856771,0.1,1101464,5.1
2936,231.27841,5748269,0.1,972664,5.0
2937,231.28327,5073157,0.1,690748,4.1
2938,231.28992,6725375,0.1,410565,6.2
2939,231.30657,6230777,0.1,1013831,5.6
2940,231.31113,5189216,0.1,1012180,4.2
2941,231.31202,5158777,0.1,545576,4.2
2942,231.31374,5904228,0.1,820166,5.2
2943,231.31422,5598821,0.1,750827,4.8
2944,231.32295,5065274,0.1,641142,4.1
2945,231.34235,6023936,0.1,552840,5.3
2946,231.36147,5195854,0.1,798722,4.2
2947,231.36278,5363904,0.1,462022,4.5
2948,231.36316,5893648,0.1,1047806,5.2
2949,231.36826,5808632,0.1,912549,5.0
2950,231.37506,5714387,0.1,880406,4.9
2951,231.38954,5889369,0.1,627009,5.1
2952,231.39035,6570010,0.1,999488,6.0
2953,231.39381,5442752,0.1,1008267,4.6
2954,231.39664,6034244,0.1,743776,5.3
2955,231.44349,5041901,0.1,873156,4.0
2956,231.44874,5039429,0.1,604127,4.0
2957,231.45361,5088477,0.1,689811,4.1
2958,231.45745,5156979,0.1,849748,4.2
2959,231.4794,5589333,0.1,467000,4.8
2960,231.48089,5435432,0.1,1253991,4.6
2961,231.50622,5260111,0.1,1008175,4.3
2962,231.5111,6392119,0.1,1076087,5.8
2963,231.51771,5626801,0.1,885237,4.8
2964,231.53836,5621474,0.1,1128904,4.8
2965,231.54115,5585126,0.1,1136293,4.8
2966,231.59861,5757553,0.1,610371,5.0
2967,231.60304,6387080,0.1,1134736,5.8
2968,231.61313,5224856,0.1,1012898,4.3
2969,231.61564,5604892,0.1,1145571,4.8
