,m/z,I,I %,Res.,S/N
26514,943.28287,18394736,1.8,133093,6.8
26515,943.32182,24678073,2.4,241275,10.0
26516,943.39417,20488001,2.0,204924,7.9
26517,943.54948,12849252,1.3,266841,4.1
26518,943.82639,13333094,1.3,230702,4.3
26519,943.84283,16388741,1.6,246105,5.8
26520,943.88533,14070482,1.4,249407,4.7
26521,943.93266,13157162,1.3,131642,4.2
26522,944.12829,15705232,1.6,206045,5.5
26523,944.17754,15443178,1.5,230662,5.4
26524,944.20782,14431521,1.4,250496,4.9
26525,944.21808,18060596,1.8,210943,6.7
26526,944.28923,12821940,1.3,319866,4.0
26527,944.45466,13493984,1.3,259990,4.4
26528,945.09522,13218641,1.3,164682,4.2
26529,945.11822,16300922,1.6,295074,5.8
26530,945.13339,13233044,1.3,280938,4.2
26531,945.1549,32488377,3.2,171606,14.0
26532,945.1698,17988564,1.8,226867,6.6
26533,945.19086,30301177,3.0,185396,12.8
26534,945.20661,20241428,2.0,194818,7.8
26535,945.22703,21580855,2.1,200273,8.5
26536,945.26318,21707895,2.1,152750,8.5
26537,945.27859,13257873,1.3,260148,4.3
26538,945.30074,20511928,2.0,197527,7.9
26539,945.33648,16624886,1.6,118556,6.0
26540,945.37197,15969588,1.6,153116,5.6
26541,945.40873,15416691,1.5,254706,5.3
26542,945.43116,13182362,1.3,163080,4.2
26543,946.15834,18094704,1.8,185448,6.7
26544,946.26649,14885669,1.5,220713,5.1
26545,947.11085,16738445,1.7,260423,6.0
26546,947.13352,18475186,1.8,185840,6.9
26547,947.15103,24078542,2.4,208023,9.7
26548,947.16874,22792426,2.2,103152,9.1
26549,947.18783,23914760,2.4,215787,9.6
26550,947.20643,30312742,3.0,149414,12.9
26551,947.22448,14786884,1.5,161172,5.0
26552,947.24288,29321569,2.9,199004,12.4
26553,947.28053,16517533,1.6,284716,5.9
26554,947.31495,20007380,2.0,271456,7.7
26555,947.3527,15962640,1.6,173937,5.6
26556,947.38654,14400070,1.4,282974,4.8
26557,947.39174,14830159,1.5,286855,5.0
26558,947.48328,13150944,1.3,226416,4.2
26559,947.56617,13335394,1.3,257199,4.3
26560,947.75228,13008007,1.3,285035,4.1
26561,947.93682,13514150,1.3,136868,4.4
26562,948.14401,12807911,1.3,293149,4.0
26563,948.21227,14446416,1.4,250664,4.9
26564,948.24302,15114111,1.5,271494,5.2
26565,948.40225,16187505,1.6,183465,5.7
26566,948.5862,13742472,1.4,212765,4.5
26567,949.14249,13657284,1.3,308277,4.5
26568,949.15187,14189778,1.4,236393,4.7
26569,949.16567,16024807,1.6,172410,5.7
26570,949.18649,19731717,1.9,214069,7.5
26571,949.20003,14427417,1.4,202226,4.8
26572,949.23721,16315728,1.6,307367,5.8
26573,949.29291,16393633,1.6,306884,5.8
26574,949.37057,13839890,1.4,259788,4.5
26575,949.89811,14948616,1.5,198767,5.1
26576,951.08126,14684010,1.4,134752,5.0
26577,951.14737,14008259,1.4,317006,4.6
26578,951.18479,13754357,1.4,228093,4.5
26579,951.25722,13529173,1.3,248610,4.4
26580,953.05956,14354766,1.4,251316,4.8
26581,953.16499,14006733,1.4,299854,4.6
26582,953.19378,14141936,1.4,323092,4.7
26583,953.34955,13720236,1.4,313847,4.5
26584,954.14987,12953176,1.3,229658,4.1
26585,954.21442,15271587,1.5,188495,5.3
26586,955.14398,13755058,1.4,266468,4.5
26587,955.17995,15184602,1.5,289633,5.2
26588,955.21703,15004418,1.5,296949,5.1
26589,955.25365,14721834,1.5,274306,5.0
26590,956.04402,14366321,1.4,234793,4.8
26591,956.15287,12873441,1.3,215187,4.1
26592,956.53005,13342818,1.3,267781,4.3
26593,956.95517,12835339,1.3,246175,4.0
26594,957.19578,13413110,1.3,142838,4.3
26595,957.23194,22891289,2.3,228080,9.1
26596,957.268,16702268,1.6,271493,6.0
26597,957.95788,14620107,1.4,190800,4.9
26598,958.19951,14716586,1.5,255987,5.0
26599,958.33281,13606692,1.3,255380,4.4
26600,958.7162,17707132,1.7,224097,6.5
26601,958.94713,13861192,1.4,257799,4.6
26602,959.1377,17940973,1.8,320058,6.6
26603,959.21008,22385196,2.2,215613,8.8
26604,959.24647,17064523,1.7,217869,6.2
26605,959.28209,14067306,1.4,163944,4.7
26606,959.29301,17388147,1.7,213010,6.3
26607,959.92084,14902403,1.5,219373,5.1
26608,960.10966,15238429,1.5,252785,5.2
26609,960.24136,13956488,1.4,211076,4.6
26610,960.27861,14390694,1.4,272711,4.8
26611,960.9129,19138458,1.9,223290,7.2
26612,960.92812,13535142,1.3,278680,4.4
26613,960.96564,13850562,1.4,194181,4.5
26614,961.01949,14358508,1.4,286381,4.8
