mz,Intensity,s_n,res
218.60488,1056004,4.1,1329713
218.62184,1089222,4.3,1049744
218.64648,1073373,4.2,1337119
218.67376,1177958,4.8,1058109
218.74271,1398134,6.1,1194066
218.76981,1068015,4.2,1087773
218.81568,1318359,5.6,1369078
218.87213,1052174,4.1,1400236
218.87688,1129773,4.5,1448025
218.90146,1148533,4.6,1019614
218.90609,1050326,4.1,1253383
218.93193,1094584,4.3,1138646
218.95823,1278043,5.4,1318031
218.96816,1095181,4.3,1030050
218.97879,1116022,4.4,1460582
219.01811,1060437,4.1,1547177
219.04976,1331836,5.7,1452062
219.0563,1240146,5.2,929864
219.06237,1092556,4.3,1334910
219.07216,1117776,4.4,1355241
219.09019,1123323,4.5,1407161
219.10118,1085203,4.3,1272505
219.11564,1067587,4.2,1275068
219.17232,1156517,4.7,1460987
219.19235,1440501,6.3,1103234
219.20971,1059852,4.1,1665094
219.24021,1147019,4.6,1214588
219.25015,1320543,5.6,1020452
219.27872,1105140,4.4,990482
219.29058,1142198,4.6,761000
219.31498,1061211,4.1,676846
219.39983,1042888,4,1333412
219.40567,1042712,4,1266002
219.45396,1185456,4.8,576317
219.45676,1143587,4.6,1390675
219.49401,1223678,5.1,1378713
219.50463,1130800,4.5,1065810
219.52716,1044777,4,1022945
219.56842,1056638,4.1,1178508
219.58227,1204964,4.9,1322494
219.60318,1549554,6.9,752813
219.60396,1120736,4.5,1293174
219.61744,1221340,5,1121350
219.64298,1048467,4,1543962
219.64375,1268467,5.3,1210558
219.66424,1234295,5.1,1358184
219.68417,1076645,4.2,1109599
219.7261,1053526,4.1,1384710
219.7528,1155461,4.7,963292
219.75894,1140319,4.6,1199526
219.7787,1166701,4.7,1408150
219.81195,1094489,4.3,1425666
219.82938,1391868,6,1054552
219.85181,1176682,4.8,1068045
219.87658,1133366,4.5,1081454
219.89971,1072338,4.2,1043209
219.90878,1082215,4.2,1121802
219.93466,1067871,4.2,1384952
219.94937,1170293,4.7,909031
219.97091,1195327,4.9,1335993
220.01212,1062758,4.1,1453255
220.02335,1074522,4.2,1502885
220.05104,1063182,4.1,1309666
220.05207,1056698,4.1,1306986
220.06165,1058882,4.1,1309518
220.10078,1146266,4.6,1170184
220.11821,1054562,4.1,1394243
220.12116,1057760,4.1,787571
220.16089,1143397,4.6,1513585
220.16414,1041829,4,1048306
220.16844,1071305,4.2,1441339
220.17452,1139321,4.6,1396123
220.20486,1421089,6.2,1405412
220.21267,1166993,4.7,1612745
220.21661,1138541,4.6,1138893
220.21932,1070053,4.2,1573848
220.26971,1054933,4.1,1321928
220.27271,1043881,4,1355212
220.29283,1116145,4.4,1212809
220.32701,1237629,5.1,1240208
220.34404,1378297,5.9,824465
220.35545,1197791,4.9,1086473
220.36956,1043376,4,1481077
220.40047,1238144,5.1,1075895
220.4204,1058800,4.1,1396729
220.44638,1272648,5.3,1084396
220.47397,1061648,4.1,1561930
220.49936,1076332,4.2,1267912
220.51746,1060225,4.1,1439741
220.52903,1135545,4.5,827614
220.55109,1191725,4.9,1401170
220.55367,1081797,4.2,1290982
220.57289,1195689,4.9,1312464
220.58358,1105489,4.4,1229477
220.60192,1063237,4.1,1506404
220.60607,1175993,4.8,1145493
220.60931,1047529,4,1134954
220.61539,1082325,4.2,818095
220.62273,1044079,4,881313
220.68216,1192529,4.9,1162579
220.6963,1181261,4.8,1346423
220.71394,1050061,4.1,1222024
220.74667,1255421,5.2,1185329
220.75791,1198054,4.9,1400816
220.76701,1325994,5.6,1214104
220.79669,1155948,4.7,964661
220.8445,1179714,4.8,1320782
220.85229,1139850,4.6,1056068
220.88794,1071255,4.2,1260749
220.8886,1193291,4.9,1031249
220.91051,1187947,4.9,854419
220.91931,1084807,4.3,1215881
220.97963,1199384,4.9,1247634
220.98154,1069430,4.2,941377
220.98674,1047872,4,1263667
220.99351,1052724,4.1,1757480
221.00104,1273556,5.3,1132666
221.03532,1040626,4,1126763
221.06596,1056821,4.1,1003965
221.07003,1122569,4.5,1145403
221.10442,1239441,5.1,1162629
221.1069,1286689,5.4,1128835
221.11147,1136177,4.6,1262901
221.11688,1100027,4.3,995739
221.12661,1114918,4.4,1100780
221.13441,1229110,5.1,1349765
221.1457,1063248,4.1,825523
221.15546,1157648,4.7,697964
221.1787,1063072,4.1,1084269
221.18024,1172572,4.8,956202
221.22089,1122383,4.5,1554317
221.27693,1139160,4.6,1289095
221.31403,1149277,4.6,1493542
221.32333,1084681,4.3,1233610
221.33761,1050941,4.1,1054646
221.35922,1166558,4.7,1152105
221.40273,1152787,4.6,1364519
221.42849,1048943,4.1,1158260
221.44829,1212480,5,1105790
221.45608,1050828,4.1,1343967
221.46043,1142580,4.6,1332349
221.46104,1142096,4.6,985753
221.47015,1196124,4.9,1354953
221.47138,1049220,4.1,1667394
221.4827,1177497,4.8,1243080
221.53856,1135538,4.5,1224820
221.54931,1041972,4,948934
221.55336,1041022,4,1409045
221.5562,1184354,4.8,1245232
221.59495,1134063,4.5,1308763
221.61742,1103576,4.4,958437
221.62938,1239020,5.1,1026874
221.67657,1045594,4,1397142
221.74376,1154550,4.7,855193
221.74851,1265880,5.3,1186818
221.76375,1124672,4.5,1254889
221.7769,1069977,4.2,844323
221.7782,1255353,5.2,890424
221.79041,1044693,4,1379682
221.80274,1231009,5.1,947086
221.82007,1133422,4.5,1312971
221.83943,1111871,4.4,1289402
221.90109,1238237,5.1,1018804
221.90806,1041237,4,1351618
221.91506,1161845,4.7,1063945
221.92213,1212857,5,1434803
221.94856,1083810,4.3,1274396
221.97402,1089259,4.3,1062053
221.9952,1233964,5.1,1269152
222.00532,1125824,4.5,1173147
222.0245,1129251,4.5,826146
222.03043,1156021,4.7,1376464
222.08459,1080787,4.2,1269840
222.09357,1118952,4.5,1172880
222.10291,1190412,4.9,981507
222.12988,1160709,4.7,1095492
222.1343,1184565,4.8,1058896
222.14346,1101266,4.4,1040179
222.16131,1043542,4,1440368
222.18834,1132707,4.5,1063456
222.2083,1273476,5.3,1405058
222.21985,1315173,5.6,1363352
222.23464,1090493,4.3,1363537
222.24332,1075170,4.2,1081029
222.25304,1131642,4.5,913255
222.25431,1065226,4.1,1196470
222.26823,1056251,4.1,1442209
222.27319,1167791,4.7,1409672
222.33348,1146738,4.6,1226527
222.44501,1084783,4.3,1337554
222.49593,1073729,4.2,1172378
222.52655,1171163,4.8,1521430
222.55329,1090780,4.3,1367463
222.61218,1097903,4.3,1198922
222.63742,1218125,5,1214943
222.6383,1089145,4.3,957270
222.68295,1127227,4.5,1393851
222.69465,1077672,4.2,1376767
222.72159,1040285,4,1337071
222.75446,1085407,4.3,858351
222.78394,1044633,4,1439986
222.80458,1053638,4.1,1324204
222.81714,1071810,4.2,1098402
222.83361,1053691,4.1,1330548
222.84228,1186524,4.8,1008207
222.85759,1416205,6.2,1306948
222.86101,1216495,5,988633
222.9255,1178681,4.8,1178658
222.94807,1172782,4.8,1122439
222.9594,1113791,4.4,938581
222.97593,1050840,4.1,1035933
222.99237,1268457,5.3,1003522
223.00093,1119598,4.5,1439900
223.02957,1177483,4.8,1332348
223.03368,1077142,4.2,831675
223.08396,1086743,4.3,1189284
223.08786,1388487,6,940913
223.10239,1061044,4.1,1160872
223.19756,1242019,5.2,1164345
223.20689,1064227,4.1,1173171
223.21026,1129051,4.5,1127424
223.2439,1049558,4.1,1563892
223.26227,1084175,4.3,968716
223.26933,1148060,4.6,974076
223.27178,1051240,4.1,1487272
223.28806,1190273,4.9,1355315
223.2992,1151326,4.6,1172356
223.3331,1059384,4.1,956271
223.34569,1100685,4.3,1392354
223.3501,1135377,4.5,1113148
223.35276,1137050,4.6,1248377
223.36184,1124638,4.5,1022043
223.38497,1139052,4.6,1127962
223.42278,1041413,4,953233
223.43946,1094024,4.3,1238624
223.5083,1237381,5.1,1076037
223.51181,1069981,4.2,1012406
223.52326,1074058,4.2,1622638
223.5268,1253963,5.2,1341338
223.53816,1245502,5.2,921012
223.54753,1144168,4.6,984958
223.56274,1051141,4.1,1552278
223.5763,1070447,4.2,1165643
223.60258,1160115,4.7,962973
223.6595,1119233,4.5,895726
223.70392,1191597,4.9,1085192
223.72354,1079237,4.2,884651
223.72865,1101975,4.4,819259
223.72993,1083527,4.2,1235165
223.78273,1080592,4.2,1225988
223.78634,1279948,5.4,1067382
223.79682,1066873,4.2,1036534
223.83635,1095456,4.3,981985
223.83948,1210176,5,1128627
223.85765,1430506,6.2,918130
223.86811,1083279,4.2,1103067
223.87403,1084679,4.3,1857398
223.88254,1097736,4.3,1500556
