mz,Intensity,s_n,res
221.18026,1049201,4,1235237
221.19619,1044837,4,1610878
221.21211,1067673,4.1,1102521
221.24676,1057678,4.1,1406247
221.26728,1125606,4.5,977304
221.29205,1175175,4.8,1154685
221.29544,1182679,4.8,1485656
221.31552,1260439,5.2,1087986
221.38011,1051385,4,1048170
221.42311,1086874,4.2,1433641
221.4327,1091458,4.3,1329108
221.49031,1144707,4.6,1464104
221.49142,1122671,4.5,1270485
221.50285,1197088,4.9,1250106
221.50347,1057496,4.1,1254857
221.51298,1189032,4.8,1396015
221.53627,1183492,4.8,1395305
221.55318,1162597,4.7,997861
221.58514,1164852,4.7,903232
221.61499,1287579,5.4,1263263
221.61799,1086119,4.2,1179591
221.62891,1101803,4.3,1519340
221.63118,1161043,4.7,1224331
221.70021,1104725,4.4,1428157
221.72518,1044786,4,1190533
221.75913,1134179,4.5,915769
221.78896,1046580,4,1443922
221.81014,1075936,4.2,1161011
221.82702,1171385,4.7,1046294
221.83458,1045261,4,1284895
221.85141,1119466,4.4,1417644
221.86486,1054674,4.1,1330920
221.86679,1122910,4.5,1110632
221.91411,1205452,4.9,1041156
221.98336,1361938,5.8,904924
221.98539,1123546,4.5,946870
222.02302,1193860,4.9,1219276
222.07322,1079098,4.2,1097600
222.07788,1262298,5.3,1150874
222.11497,1214159,5,1241347
222.12528,1112140,4.4,1480624
222.14381,1081781,4.2,1193861
222.16223,1250501,5.2,1145032
222.19614,1169891,4.7,1425001
222.20454,1146815,4.6,1322268
222.21064,1066495,4.1,1053715
222.22878,1083280,4.2,1196231
222.24702,1056185,4.1,1234376
222.25021,1080965,4.2,1239280
222.25113,1111037,4.4,1226207
222.26116,1452662,6.3,1235787
222.2645,1136106,4.5,1251547
222.27512,1064986,4.1,1326124
222.28938,1100503,4.3,1132200
222.29087,1073991,4.2,1418403
222.32399,1084220,4.2,1491426
222.33574,1094153,4.3,1214857
222.33879,1206889,4.9,1100109
222.36211,1274332,5.3,856086
222.48887,1068084,4.1,1085103
222.48993,1151808,4.6,1099027
222.49399,1177789,4.8,1097519
222.51894,1104930,4.4,1222379
222.52085,1285240,5.4,690250
222.52286,1057678,4.1,1568400
222.53885,1262307,5.3,1492617
222.55712,1088216,4.3,1369328
222.56134,1172172,4.7,1118540
222.59733,1116414,4.4,1378794
222.59939,1069934,4.2,1251260
222.60748,1162307,4.7,1274044
222.6526,1092739,4.3,675422
222.6731,1094318,4.3,938760
222.79347,1105837,4.4,1155195
222.8232,1052707,4.1,1527211
222.84128,1135668,4.5,1480977
222.8456,1200608,4.9,1262987
222.92668,1190265,4.8,1446646
222.93327,1225153,5,1418826
222.95778,1045099,4,1306541
