mz,Intensity,s_n,res
222.08149,1091735,4.3,997959
222.08922,1059761,4.1,1120167
222.0941,1079287,4.2,1647522
222.11533,1129264,4.5,1497357
222.12935,1274197,5.3,943938
222.17073,1066718,4.1,1027342
222.17479,1055761,4.1,779014
222.17701,1104931,4.4,1523231
222.19867,1192020,4.9,1356749
222.20298,1114260,4.4,1679500
222.21624,1073936,4.2,1261781
222.23863,1158069,4.7,1210365
222.26698,1072998,4.2,1142260
222.27382,1105685,4.4,803059
222.2836,1042111,4,1157941
222.42872,1069546,4.2,1089374
222.44295,1127710,4.5,1410938
222.45573,1105851,4.4,1451430
222.48847,1166344,4.7,1346969
222.52073,1247946,5.2,1546710
222.52754,1081010,4.2,1700466
222.52778,1154694,4.6,1253526
222.54236,1083719,4.2,1213280
222.54295,1168779,4.7,1064203
222.54696,1122843,4.5,1146461
222.5658,1220576,5,1170592
222.61098,1044283,4,1232781
222.63994,1110420,4.4,1333585
222.6617,1173885,4.8,936121
222.69444,1182599,4.8,738214
222.73574,1094157,4.3,838490
222.76517,1139283,4.6,1207265
222.7706,1114447,4.4,1393353
222.79835,1082341,4.2,1247858
222.8028,1066641,4.1,942154
222.80651,1128993,4.5,797399
222.82461,1063742,4.1,1177801
222.83661,1146119,4.6,1341656
222.84171,1205415,4.9,994969
222.88745,1064702,4.1,1361739
222.92526,1080898,4.2,834034
222.95185,1202050,4.9,1019807
223.02463,2643222,13.2,1420527
223.02484,2344374,11.5,1201955
223.10394,1162715,4.7,1049406
223.1139,1126276,4.5,1026558
223.13396,1108765,4.4,1393915
223.17558,1044380,4,1063638
223.18827,1050977,4.1,1578195
223.20025,1064493,4.1,1349884
223.23253,1087340,4.3,1318355
223.29839,1047368,4,979651
223.31274,1064833,4.1,1414031
223.31731,1053557,4.1,1219414
223.3542,1172016,4.7,899895
223.38931,1108185,4.4,965882
223.40417,1173204,4.8,1339065
223.4108,1090332,4.3,1262192
223.41385,1088024,4.3,1098203
223.50911,1174999,4.8,1260616
223.51984,1335976,5.7,1037852
223.52889,1054465,4.1,1468383
223.54738,1139990,4.6,1082173
223.57569,1234769,5.1,1176612
223.57675,1114617,4.4,1063640
223.59083,1053724,4.1,932598
223.60166,1062879,4.1,1049873
223.65169,1130459,4.5,1512310
223.75774,1237387,5.1,1287305
223.78695,1330566,5.7,1370256
223.8015,1169523,4.7,1017225
223.80353,1168895,4.7,1100864
223.80446,1131199,4.5,1343619
223.81235,1120484,4.5,1099345
223.82239,1170745,4.7,1078722
223.82863,1217649,5,989238
223.83733,1300066,5.5,1035544
223.85708,1318012,5.6,1409035
223.88911,1111318,4.4,631231
223.88973,1105006,4.4,1578851
223.8903,1094046,4.3,1128802
223.90765,1052280,4.1,1189452
223.91465,1069897,4.2,1199091
223.91672,1071301,4.2,1230226
223.93528,1257910,5.2,1115247
224.01566,1111822,4.4,1206601
224.02819,1249179,5.2,1345823
224.11198,1179602,4.8,1254433
224.12978,1053628,4.1,1536145
224.17648,1078536,4.2,1664662
224.21864,1127054,4.5,777865
224.24096,1145431,4.6,1418037
224.29125,1098092,4.3,1456388
224.30986,1111447,4.4,909006
224.31101,1066442,4.1,1277367
224.32385,1301079,5.5,1041581
224.32827,1101115,4.3,1300340
224.41228,1050792,4.1,1522351
224.42978,1102502,4.3,1227067
224.45687,1073628,4.2,1200798
224.48528,1111275,4.4,1053639
224.49594,1050080,4,1776011
224.53236,1208716,5,1188870
224.5422,1180557,4.8,1261702
224.54851,1052494,4.1,872866
224.60588,1086600,4.3,1007943
224.61951,1090354,4.3,1334263
224.64532,1047393,4,751580
224.65396,1143733,4.6,1270851
224.67852,1049848,4,1144527
224.70084,1066543,4.1,1044660
224.71027,1120160,4.5,1064448
224.73401,1112846,4.4,807359
224.74916,1042836,4,1524473
224.75838,1215197,5,1257334
224.77061,1102070,4.3,1294780
224.77732,1092351,4.3,1347994
224.78245,1191160,4.9,1213265
224.78992,1044433,4,999788
224.82689,1220445,5,1113626
224.84047,1260778,5.3,884980
224.8461,1352423,5.8,1089684
224.85547,1072184,4.2,1325646
