mz,Intensity,s_n,res
218.33856,1074526,4.2,1330439
218.34254,1261982,5.3,1214035
218.36301,1058411,4.1,1203761
218.42045,1073107,4.2,1303397
218.434,1061807,4.1,1587074
218.43736,1282886,5.4,989634
218.44099,1142986,4.6,1310209
218.51122,1107928,4.4,1079198
218.57011,1101943,4.4,1010787
218.5761,1140885,4.6,1181237
218.61668,1087333,4.3,979993
218.63783,1282859,5.4,1161637
218.70067,1136109,4.6,1247549
218.72616,1075518,4.2,1011311
218.72807,1065712,4.1,1476973
218.75333,1093395,4.3,1321763
218.75441,1086381,4.3,1074771
218.75478,1052295,4.1,1177835
218.75889,1084683,4.3,1011176
218.76095,1192875,4.9,1190845
218.78309,1065534,4.1,1471002
218.87122,1101091,4.4,902421
218.90122,1262684,5.3,1140912
218.94739,1209937,5,1196585
218.94771,1115889,4.4,1491492
218.94938,1162401,4.7,771386
218.96448,1044836,4,1506961
218.98483,1249222,5.2,881966
219.00811,1325675,5.6,1265000
219.02739,1222179,5,1111654
219.02989,1781199,8.3,1351153
219.03489,1049322,4.1,860965
219.04384,1394250,6,977618
219.04491,1051118,4.1,971944
219.05097,1136082,4.6,1279667
219.05291,1238278,5.1,1249227
219.07334,1040893,4,1706119
219.09247,1057607,4.1,1296159
219.12099,1295700,5.5,1107396
219.1651,1047395,4,1585429
219.16544,1169387,4.7,1424212
219.25642,1211677,5,1192226
219.2629,1200905,4.9,1225366
219.26629,1056840,4.1,1086302
219.27382,1059888,4.1,1152816
219.28644,1083444,4.3,1312907
219.28669,1136064,4.6,1412548
219.3052,1132316,4.5,935175
219.31367,1192135,4.9,1239304
219.37745,1059278,4.1,1395431
219.41091,1093489,4.3,1160800
219.41689,1058981,4.1,1502291
219.45681,1188948,4.9,1224632
219.47504,1247580,5.2,1162170
219.52478,1059979,4.1,1117127
219.52987,1118165,4.5,1047831
219.57492,1073292,4.2,1230695
219.58383,1088490,4.3,1383562
219.58742,1102710,4.4,1279084
219.59792,1107022,4.4,1328139
219.64489,1109021,4.4,1140100
219.66349,1058921,4.1,1415599
219.6695,1109698,4.4,709985
219.70158,1110936,4.4,1723198
219.78081,1083651,4.3,1245098
219.82638,1321862,5.6,1157837
219.83352,1071846,4.2,975743
219.85152,1344250,5.8,928700
219.85905,1074466,4.2,875573
219.88786,1075853,4.2,1241774
219.90704,1185401,4.8,985208
219.97934,1258910,5.3,722814
219.98512,1155268,4.7,1191952
220.02512,1423916,6.2,837643
220.04769,1199984,4.9,1292110
220.06054,1082196,4.2,1593050
220.08928,1189707,4.9,1259297
220.09465,1046593,4,830292
220.11101,1110359,4.4,1326209
220.12627,1039815,4,1628308
220.14148,1265075,5.3,1502291
220.15499,1048487,4.1,1174520
220.16306,1130195,4.5,1298464
220.16779,1175439,4.8,1246593
220.18304,1178667,4.8,1121076
220.22757,1121163,4.5,1185742
220.23318,1061275,4.1,1194252
220.38509,1119250,4.5,1284721
220.38547,1052346,4.1,1354455
220.41711,1040602,4,1321730
220.42589,1091758,4.3,1097891
220.44882,1046298,4,1710566
220.47097,1067470,4.2,1146536
220.47141,1260758,5.3,965101
220.47923,1096670,4.3,1412556
220.48742,1058866,4.1,1219945
220.50506,1149338,4.6,1339408
220.51386,1327654,5.7,1151479
220.52572,1134780,4.5,1087148
220.55636,1050874,4.1,1338976
220.57474,1136602,4.6,1393043
220.57956,1200894,4.9,1419381
220.62536,1101687,4.4,1426221
220.63195,1150611,4.6,1506777
220.63756,1079019,4.2,1042869
220.65471,1137075,4.6,1035519
220.65562,1084147,4.3,1318821
220.69438,1067071,4.2,1056837
220.72636,1072507,4.2,1359374
220.76266,1043351,4,1116668
220.78076,1120183,4.5,1402613
220.78666,1358759,5.8,1054124
220.78708,1045891,4,1157809
220.8241,1040246,4,1223454
220.84864,1171716,4.8,1081472
220.87831,1058712,4.1,1294840
220.88637,1175532,4.8,1138750
220.90553,1092837,4.3,1682832
220.91475,1170077,4.7,1134527
220.93177,1222861,5.1,1197298
220.93753,1090601,4.3,990100
220.94949,1053045,4.1,1029063
220.95999,1068173,4.2,1255636
220.9791,1214717,5,786850
221.00914,1540238,6.9,1263660
221.03455,1079146,4.2,1114872
221.04552,1861150,8.7,1137608
221.07297,1062011,4.1,1163498
221.07407,1052865,4.1,757657
221.07796,1170243,4.8,1251187
221.08589,1098623,4.3,1316343
221.08735,1273491,5.3,1229600
221.09038,1048175,4,1460086
221.11829,1043793,4,793734
221.14537,1114628,4.4,1318001
221.20481,1072781,4.2,1196111
221.22934,1315877,5.6,1065123
221.23637,1362509,5.9,1247190
221.28686,1098086,4.3,949980
221.29239,1179074,4.8,1290002
221.36553,1084580,4.3,1135246
221.39064,1100040,4.3,1514289
221.4048,1149969,4.6,1105568
221.43712,1375425,5.9,831186
221.44323,1141390,4.6,1145395
221.4458,1163230,4.7,1287524
221.4719,1069050,4.2,1549937
221.49553,1348911,5.8,1143169
221.52092,1136167,4.6,1439542
221.542,1147240,4.6,1219520
221.54807,1050588,4.1,1343935
221.58329,1233733,5.1,1328561
221.58621,1044173,4,1361434
221.59236,1086177,4.3,1150034
221.60455,1045828,4,1013138
221.62183,1080930,4.2,1059168
221.67007,1112779,4.4,1413444
221.67465,1145851,4.6,1227304
221.70293,1208304,5,882244
221.70617,1050568,4.1,1462955
221.77243,1152998,4.7,999515
221.78828,1082827,4.2,1437942
221.82408,1241304,5.2,987952
221.83362,1240264,5.2,1092028
221.8377,1126446,4.5,745132
221.90518,1079385,4.2,888657
221.93685,1040196,4,1392953
221.96188,1068525,4.2,1321365
222.00439,1347198,5.8,1474508
222.0135,1064799,4.1,1228034
222.01391,1161823,4.7,1103574
222.02183,1072875,4.2,1044697
222.03463,1166755,4.7,1212686
222.03525,1207259,5,1137956
222.07535,1070827,4.2,1020504
222.07603,1042355,4,774800
222.07846,1105093,4.4,1360555
222.10188,1238850,5.1,1527851
222.16692,1041489,4,1151857
222.19491,1110154,4.4,1095290
222.21594,1183659,4.8,1190769
222.23074,1066999,4.2,1498497
222.23274,1124267,4.5,955573
222.27224,1148929,4.6,1260522
222.27631,1049186,4.1,702271
222.32855,1188596,4.9,1453029
222.37489,1187094,4.8,864617
222.37673,1115130,4.4,965822
222.41424,1129228,4.5,1068641
222.43038,1140020,4.6,1254962
222.45294,1061806,4.1,1352250
222.4847,1116371,4.4,1156504
222.52783,1052335,4.1,945613
222.52884,1159245,4.7,1077405
222.54599,1053456,4.1,855261
222.5512,1040698,4,968987
222.5596,1047511,4,891485
222.56909,1062727,4.1,927176
222.57431,1053900,4.1,1151626
222.5822,1073608,4.2,1245074
222.58352,1073552,4.2,1367699
222.5855,1222584,5.1,803227
222.6047,1125527,4.5,620760
222.60959,1292905,5.5,1231312
222.62375,1100686,4.4,1109678
222.77696,1048331,4,1374634
222.78256,1153255,4.7,1354620
222.78706,1045899,4,1168772
222.81474,1114637,4.4,745070
222.83303,1173526,4.8,1453742
222.83638,1161318,4.7,1193810
222.84995,1133427,4.5,1021853
222.87441,1108936,4.4,1485759
222.9105,1265571,5.3,1307874
222.91356,1052111,4.1,1179028
222.93661,1144384,4.6,1152472
222.95323,1085797,4.3,1554649
222.96097,1133039,4.5,706809
222.9892,1063384,4.1,1033382
222.99124,1137316,4.6,1208600
223.0089,1099953,4.3,1279509
223.0095,1099905,4.3,1220571
223.02184,1250850,5.2,1414495
223.02482,1282690,5.4,1729438
223.02503,1140098,4.6,1724293
223.02748,1133160,4.5,845739
223.0317,1138074,4.6,1089953
223.0414,1085643,4.3,1282588
223.04387,1140543,4.6,1262827
223.04934,1333995,5.7,1382470
223.08712,1070418,4.2,1115452
223.09901,1108615,4.4,1222956
223.10744,1042631,4,1118878
223.13403,1069897,4.2,1414309
223.13631,1139461,4.6,1150807
223.15385,1135050,4.5,1052187
223.20858,1096602,4.3,1032087
223.26565,1086374,4.3,909753
223.27956,1111471,4.4,1235689
223.32379,1100190,4.3,1600754
223.41074,1044461,4,1126651
223.42395,1059998,4.1,895397
223.43798,1041483,4,1308334
223.44982,1046604,4,1222089
223.45974,1184924,4.8,1182794
223.46768,1154065,4.7,1314679
223.47413,1229258,5.1,1101607
223.49837,1214551,5,1144544
223.51826,1050577,4.1,1336195
223.52602,1705094,7.8,1292149
223.56307,1142825,4.6,1406090
223.60261,1344424,5.8,926536
223.60573,1095170,4.3,798570
223.61102,1107420,4.4,1070542
223.61324,1048057,4,1383595
223.63272,1348510,5.8,1201266
223.77947,1063003,4.1,1375265
223.82072,1312158,5.6,1279794
223.86131,1057698,4.1,1495923
223.86298,1096158,4.3,905701
223.89702,1189253,4.9,1340569
223.90665,1127998,4.5,1257356
223.91718,1134431,4.5,1199054
223.93052,1132016,4.5,980743
223.93598,1070896,4.2,1496558
