mz,Intensity,s_n,res
219.21844,1169569,4.7,1162887
219.22948,1284872,5.4,1172589
219.23253,1078304,4.2,1596198
219.33853,1048102,4,1224789
219.39708,1044677,4,1357244
219.45346,1131096,4.5,1301727
219.46305,1264823,5.3,1239422
219.48123,1086035,4.3,1318578
219.50952,1157330,4.7,1329847
219.53024,1118494,4.4,1163707
219.58619,1085425,4.3,861435
219.64121,1354844,5.8,997627
219.66654,1134684,4.5,816134
219.68324,1177304,4.8,1384161
219.68543,1316290,5.6,1055996
219.70405,1196815,4.9,1162724
219.71712,1139859,4.6,1638191
219.7756,1274438,5.3,1319423
219.77865,1069986,4.2,1149503
219.781,1104546,4.4,1267254
219.79999,1378446,5.9,1034174
219.83056,1097726,4.3,1270859
219.83264,1046189,4,1316163
219.84916,1069789,4.2,1271117
219.86671,1236429,5.1,1291138
219.87064,1084965,4.3,1155741
219.87659,1225713,5.1,1144734
219.88488,1070869,4.2,1056078
219.9004,1082037,4.2,1297296
219.90667,1192713,4.9,1372425
219.93721,1133900,4.5,1187556
220.02089,1137935,4.6,1508556
220.02984,1091551,4.3,1396458
220.03966,1104007,4.4,1374705
220.04116,1342743,5.7,1201314
220.06633,1092869,4.3,1109107
220.09605,1277775,5.4,961095
220.10847,1141989,4.6,871547
220.1196,1136963,4.6,1214730
220.18514,1079706,4.2,1181262
220.20304,1184698,4.8,962574
220.24408,1079974,4.2,1280289
220.24635,1085632,4.3,1087305
220.28946,1109178,4.4,1313463
220.29237,1076810,4.2,1114924
220.30306,1227324,5.1,844883
220.34284,1049362,4,1518255
220.39042,1357974,5.8,1186956
220.42719,1317590,5.6,1272718
220.44851,1060706,4.1,1097201
220.48673,1142594,4.6,1344403
220.51749,1157606,4.7,1492721
220.52129,1248870,5.2,1157975
220.53619,1063876,4.1,1203038
220.54,1208974,5,1200013
220.59748,1146022,4.6,1033835
220.62206,1063926,4.1,1223884
220.63117,1062866,4.1,1582952
220.6726,1074582,4.2,1309661
220.72419,1065302,4.1,1083290
220.74316,1059471,4.1,1343917
220.74861,1049327,4,1652367
220.78971,1249363,5.2,1405234
220.79009,1155533,4.7,819977
220.79485,1043219,4,1209290
220.79536,1092976,4.3,859142
220.81661,1051075,4.1,826261
220.82234,1182629,4.8,1070109
220.82437,1143479,4.6,1193497
220.8323,1043407,4,1206411
220.85727,1163939,4.7,1115631
220.8631,1252304,5.2,1286502
220.884,1060308,4.1,1307485
220.90006,1281968,5.4,936314
220.90981,1130000,4.5,648500
220.93559,1109778,4.4,1061177
220.96388,1348293,5.8,998153
220.98337,1352537,5.8,1071085
221.01929,1147553,4.6,1159409
221.0301,1296433,5.5,1121865
221.06898,1109438,4.4,1342634
221.07235,1111948,4.4,694013
221.09663,1068594,4.2,1144178
221.09708,1046746,4,1247587
221.12433,1070203,4.2,1201189
221.15092,1170647,4.7,1280286
221.15438,1246843,5.2,1285375
221.16033,1239907,5.1,1050739
221.16084,1060109,4.1,1009090
221.17527,1434243,6.3,977466
221.17959,1123179,4.5,1148825
221.20325,1119196,4.5,1200497
221.20864,1067096,4.2,1597963
221.22223,1203236,4.9,1248348
221.225,1055510,4.1,1091193
221.23739,1141480,4.6,1387295
221.24677,1083081,4.2,1452671
221.29285,1147295,4.6,944006
221.34607,1085054,4.3,851078
221.3523,1107723,4.4,1236097
221.35517,1074335,4.2,1175999
221.35568,1192019,4.9,1328050
221.36598,1270531,5.3,1275475
221.38932,1092911,4.3,1438223
221.39361,1066675,4.1,1447162
221.40083,1205356,4.9,709414
221.42746,1050356,4.1,1105103
221.43205,1200948,4.9,1028187
221.44495,1042225,4,1225127
221.46631,1139581,4.6,1285364
221.47067,1192281,4.9,748540
221.49866,1114316,4.4,778520
221.50567,1252410,5.2,1065508
221.55046,1231611,5.1,1212918
221.5812,1132936,4.5,1043541
221.61977,1195925,4.9,875864
221.66319,1051990,4.1,1473906
221.70884,1399139,6.1,921521
221.71492,1064667,4.1,1449694
221.76774,1151805,4.6,1159878
221.81289,1085218,4.3,1453369
221.81646,1095642,4.3,1252978
221.87637,1082384,4.2,1313427
221.90285,1168845,4.7,1118492
221.90942,1042005,4,1300398
