mz,Intensity,s_n,res
226.15873,1060096,4.1,1346695
226.15977,1079043,4.2,464146
226.17721,1082475,4.2,1293856
226.22913,1502795,6.6,1169326
226.26641,1061122,4.1,1037341
226.3251,1110759,4.4,1001941
226.34208,1105690,4.4,1049706
226.37965,1085637,4.2,1273887
226.38767,1315112,5.6,771661
226.39411,1134551,4.5,1357245
226.39717,1235312,5.1,886476
226.45098,1185313,4.8,1148652
226.4732,1105977,4.4,1022295
226.47981,1102806,4.3,1160625
226.48622,1120019,4.4,774131
226.48783,1062799,4.1,1357982
226.50871,1118431,4.4,940603
226.51301,1049348,4,1437140
226.51349,1070088,4.2,878786
226.51385,1122396,4.5,1181675
226.51622,1171524,4.7,1179974
226.52535,1154654,4.6,1265343
226.53385,1153743,4.6,850462
226.53731,1101984,4.3,1538632
226.58622,1111808,4.4,1288824
226.58871,1097761,4.3,1210762
226.58928,1045217,4,1292387
226.61281,1185501,4.8,1100778
226.65327,1046656,4,827369
226.72269,1221129,5,1251413
226.72948,1051058,4,1051795
226.74305,1062505,4.1,1008482
226.74879,1056670,4.1,987386
226.77362,1300578,5.5,1072297
226.77501,1048599,4,1041485
226.80861,1144013,4.6,1131371
226.82292,1047923,4,1316192
226.889,1047328,4,1210601
226.912,1281924,5.4,1308727
226.94788,1085315,4.2,1259293
226.96795,1204815,4.9,1266800
226.9882,1046643,4,1225286
227.00819,1157487,4.7,1134373
227.03255,2530955,12.5,1518561
227.03278,3886987,20.3,1421201
227.04993,1044263,4,1134777
227.05445,1155855,4.6,1342003
227.05591,1799664,8.3,1698719
227.05612,2048624,9.8,1631494
227.06869,1086626,4.2,965347
227.07746,1310772,5.5,1096333
227.08021,1116245,4.4,1354147
227.0818,1265173,5.3,1118640
227.08775,1061630,4.1,1238646
227.09228,1901303,8.9,1708974
227.0925,3225559,16.5,1376055
227.10348,1242329,5.1,1507668
227.10635,1084746,4.2,1239545
227.11008,1073694,4.2,857183
227.12867,1437374,6.3,1694865
227.12888,1262734,5.3,1594076
227.15208,1087523,4.3,923432
227.16794,1064114,4.1,1129965
227.17925,1046564,4,1201073
227.20802,1108414,4.4,1396714
227.21432,1125019,4.5,900326
227.23587,1111795,4.4,1333145
227.261,1051337,4,1376312
227.26328,1132945,4.5,1307725
227.30533,1082666,4.2,1002244
227.31782,1050250,4,849026
227.32651,1144586,4.6,1046576
227.34389,1137513,4.5,1026657
227.34938,1134587,4.5,1498027
227.37629,1116008,4.4,1563310
227.40702,1302702,5.5,1297102
227.42463,1067290,4.1,1310170
227.44111,1122290,4.5,885105
227.45464,1086360,4.2,991525
227.47458,1410701,6.1,1143507
227.4803,1055082,4.1,1103345
227.49888,1102970,4.3,930461
227.54288,1079939,4.2,1163061
227.56178,1208759,4.9,1262267
227.60884,1085149,4.2,1261212
227.62266,1221636,5,1316200
227.64126,1103080,4.3,984791
227.65158,1045842,4,1143656
227.66966,1095114,4.3,1187822
227.7385,1157670,4.7,1274424
227.74641,1060975,4.1,827962
227.75492,1078585,4.2,1019240
227.76318,1046255,4,895550
227.77616,1100790,4.3,745332
227.79878,1129691,4.5,1699472
227.81195,1111798,4.4,1114865
227.81456,1074974,4.2,1564633
227.91077,1094976,4.3,1165210
227.95869,1046223,4,1293642
227.96636,1080737,4.2,803208
228.00828,1084419,4.2,1269245
228.00881,1044347,4,1197268
228.01464,1300212,5.5,1326586
228.0526,1176125,4.8,1477785
228.08361,1124696,4.5,816576
228.11639,1063032,4.1,1108580
228.13895,1092745,4.3,994713
228.15552,1081432,4.2,555731
228.16187,1109259,4.4,569053
228.19805,1047775,4,1553227
228.20232,1189944,4.8,1115579
228.20529,1081729,4.2,1171617
228.25079,1436756,6.2,1092880
228.2514,1262748,5.2,1058086
228.26328,1103619,4.3,874932
228.32662,1099166,4.3,1172044
228.34615,1389019,6,1150754
228.35156,1258748,5.2,1270095
228.36887,1343593,5.7,1237741
228.40553,1186242,4.8,1207865
228.40751,1064474,4.1,799007
228.42014,1189773,4.8,1617683
228.42255,1086958,4.2,1587534
228.45337,1060814,4.1,1331097
228.50095,1050985,4,1298833
228.50919,1207188,4.9,1248621
228.52435,1109463,4.4,1390184
228.52981,1305777,5.5,1220161
228.53317,1088726,4.2,902281
228.60796,1053861,4,1327857
228.60983,1077645,4.2,1146050
228.6267,1093469,4.3,1085774
228.70115,1056661,4.1,1004236
228.72924,1323428,5.6,1085224
228.78777,1073491,4.1,1637839
228.79534,1203045,4.9,1162807
228.80738,1074202,4.2,790519
228.82239,1123772,4.4,1183533
228.84016,1105873,4.3,1099360
228.85443,1147677,4.6,1473725
228.86918,1101497,4.3,1338526
228.95105,1067903,4.1,1404561
228.95776,1103297,4.3,986934
