,M/z,Intensity,Relative,Resolution,Frequency,S/N
9088,567.07223,0.0492,0.2623281,767244,569651.687402,8.28
9089,567.0763,0.0332,0.1769437,663598,569647.59671,5.18
9090,567.09326,0.0856,0.456644,827638,569630.555109,15.32
9091,567.10457,0.0333,0.1778423,944337,569619.199502,5.21
9092,567.1297,0.0449,0.2394919,720682,569593.956831,7.45
9093,567.18726,0.0327,0.1743712,955471,569536.150884,5.09
9094,567.53579,0.2335,1.2454746,752670,569186.388395,43.93
9095,568.01577,0.1016,0.5420922,723091,568705.410051,18.42
9096,568.02391,0.0654,0.3488859,749727,568697.261581,11.42
9097,568.05216,0.1393,0.7427434,789714,568668.976331,25.7
9098,568.06034,0.049,0.2614568,694175,568660.794285,8.25
9099,568.06735,0.0385,0.205286,609593,568653.775656,6.21
9100,568.08853,0.0623,0.3324908,642211,568632.573425,10.82
9101,568.09659,0.032,0.1708856,665568,568624.502204,4.96
9102,568.12489,0.0399,0.2129124,712532,568596.183038,6.49
9103,568.53918,0.0852,0.4542488,721808,568181.844403,15.24
9104,568.99981,0.0693,0.3696683,755914,567721.870613,12.17
9105,569.01841,0.0381,0.2030488,556241,567703.311279,6.13
9106,569.03618,0.2047,1.0918548,713105,567685.586143,38.36
9107,569.04763,0.0353,0.1883657,663089,567674.155819,5.6
9108,569.05146,0.0801,0.4270152,646546,567670.339899,14.25
9109,569.05549,0.0411,0.2191838,631898,567666.314621,6.71
9110,569.07258,0.12,0.6398299,770323,567649.27629,21.97
9111,569.09362,0.0434,0.2313233,831365,567628.287701,7.15
9112,569.10893,0.0651,0.3471971,784525,567613.014416,11.36
9113,569.13004,0.0397,0.2119332,868853,567591.964367,6.45
9114,569.16647,0.038,0.2027954,549711,567555.632201,6.12
9115,570.03142,0.1276,0.6805382,699385,566694.423321,23.44
9116,570.03963,0.0522,0.2781365,630621,566686.260436,8.85
9117,570.04668,0.0596,0.3179792,712638,566679.258933,10.3
9118,570.05477,0.0391,0.2086967,843622,566671.210722,6.33
9119,570.06779,0.082,0.4374275,679593,566658.269247,14.63
9120,570.08305,0.0362,0.1930535,735973,566643.104332,5.77
9121,570.10433,0.0507,0.2704493,712202,566621.954964,8.57
9122,570.14055,0.0366,0.1949471,897752,566585.958916,5.83
9123,570.99764,0.0404,0.2153612,715826,565735.472972,6.57
9124,571.01546,0.143,0.7628301,715618,565717.819102,26.43
9125,571.02667,0.0338,0.1801011,870684,565706.715012,5.3
9126,571.03065,0.0568,0.3029929,671131,565702.774388,9.75
9127,571.05179,0.1221,0.6512612,750155,565681.82367,22.38
9128,571.06711,0.0796,0.4242489,735490,565666.649925,14.15
9129,571.07297,0.0323,0.1720738,493001,565660.84813,5.01
9130,571.08819,0.0845,0.4506398,701072,565645.767727,15.11
9131,571.09409,0.0344,0.1833645,703881,565639.92619,5.41
9132,571.10352,0.0347,0.1849533,717499,565630.590741,5.47
9133,571.10929,0.0386,0.2060681,541341,565624.878731,6.24
9134,571.12459,0.054,0.288004,720321,565609.722533,9.21
9135,571.21863,0.0359,0.1916578,699785,565516.604615,5.72
9136,571.25489,0.0354,0.1887428,667572,565480.711584,5.61
9137,572.01067,0.0629,0.3356308,760605,564733.549105,10.94
9138,572.01885,0.0551,0.2936243,825220,564725.468187,9.41
9139,572.0259,0.0416,0.2217913,803127,564718.509178,6.81
9140,572.04709,0.0779,0.4154973,683793,564697.594838,13.83
9141,572.05539,0.0352,0.1877539,623274,564689.392971,5.57
9142,572.06233,0.085,0.4531529,874790,564682.542249,15.2
9143,572.07044,0.0341,0.1816789,895320,564674.536807,5.35
9144,572.08344,0.0548,0.2924165,625167,564661.705445,9.37
9145,572.09865,0.0409,0.2179819,849566,564646.694248,6.67
9146,572.11987,0.0384,0.2050567,912525,564625.756368,6.2
