,M/z,Intensity,Relative,Resolution,Frequency,S/N
1561,286.04695,0.1048,0.1924732,1521780,1129310.316611,5.14
1562,286.04828,0.2664,0.4892266,1534638,1129305.045238,14.85
1563,286.06496,0.097,0.1780857,1929165,1129239.187364,4.67
1564,286.06942,0.1383,0.2538919,1853220,1129221.575002,7.15
1565,286.07211,0.1063,0.1952383,1775183,1129210.958197,5.24
1566,286.08468,0.2193,0.4026352,1609225,1129161.346432,12.02
1567,286.10133,0.1363,0.2503709,1542894,1129095.661509,7.04
1568,286.1058,0.2127,0.3905426,1587908,1129078.015108,11.62
1569,286.12106,0.1032,0.1895597,2007948,1129017.80304,5.05
1570,286.14218,0.1041,0.191119,1673452,1128934.450806,5.1
1571,286.21049,0.2173,0.3990481,1609255,1128665.005456,11.9
1572,286.21496,2.7029,4.9635177,1597976,1128647.398067,161.18
1573,286.51717,0.1088,0.1998503,943139,1127456.901186,5.39
1574,286.93836,0.0937,0.1720031,1313860,1125801.936862,4.48
1575,286.97474,0.1497,0.2748657,1673235,1125659.204692,7.84
1576,287.00916,0.2165,0.3976308,1527097,1125524.226454,11.85
1577,287.01479,0.093,0.1706932,1345877,1125502.154218,4.43
1578,287.01973,0.4512,0.8285892,1604176,1125482.781576,25.95
1579,287.03098,0.1265,0.232315,1541264,1125438.634245,6.45
1580,287.03499,0.1241,0.2278467,1728495,1125422.921046,6.3
1581,287.04086,0.1715,0.3149962,1860864,1125399.898024,9.15
1582,287.04619,0.1173,0.2153236,1536910,1125379.009709,5.89
1583,287.05611,0.8267,1.5181264,1653835,1125340.111393,48.5
1584,287.07724,0.3664,0.6727533,1616117,1125257.284512,20.85
1585,287.0925,0.971,1.783029,1637794,1125197.486103,57.16
1586,287.11363,0.2773,0.5091351,1687141,1125114.681354,15.5
1587,287.12888,0.5488,1.007843,1609476,1125054.906791,31.81
1588,287.15001,0.3147,0.5779155,1686997,1124972.147187,17.75
1589,287.16526,0.1594,0.2926251,1553959,1124912.380134,8.42
1590,287.1864,0.1917,0.3520385,1420802,1124829.586257,10.36
1591,287.21832,0.4927,0.9047122,1508722,1124704.588473,28.44
1592,287.22279,0.395,0.7252814,1584245,1124687.070375,22.57
1593,287.99881,0.1741,0.3196193,1545000,1121656.56828,9.3
1594,288.00439,0.0958,0.1759402,1762903,1121634.799577,4.6
1595,288.00643,0.108,0.1982937,1400002,1121626.862054,5.34
1596,288.01699,0.168,0.3085372,1760984,1121585.757219,8.94
1597,288.02461,0.1194,0.2192761,1465453,1121556.089789,6.02
1598,288.02621,0.2023,0.3715801,1710379,1121549.842704,11.0
1599,288.02756,0.2613,0.479883,1477445,1121544.606982,14.54
1600,288.03024,0.1152,0.2115114,1477389,1121534.155732,5.77
1601,288.03744,0.1209,0.2220555,1381742,1121506.100746,6.11
1602,288.04278,0.1059,0.1944836,1383811,1121485.317798,5.21
1603,288.05139,0.1402,0.2574271,1622783,1121451.81421,7.27
1604,288.05947,0.1222,0.224474,1790453,1121420.353389,6.19
1605,288.06394,0.3504,0.643512,1702736,1121402.942008,19.9
1606,288.08506,0.1274,0.2339184,1519896,1121320.750479,6.5
1607,288.08773,0.1158,0.2126029,1639686,1121310.339164,5.8
1608,288.09585,0.2072,0.3805757,1692155,1121278.720056,11.3
1609,288.10032,0.2417,0.4439275,1678964,1121261.354663,13.37
1610,288.12145,0.1448,0.2659183,1479649,1121179.125208,7.55
1611,288.13222,0.1431,0.2627257,1306653,1121137.217752,7.44
1612,288.1565,0.1022,0.1876699,1638245,1121042.747756,4.99
1613,288.15783,0.1527,0.2803455,1330063,1121037.549582,8.02
1614,288.19423,0.1129,0.2073058,1363008,1120895.981694,5.63
1615,288.22616,0.0939,0.1724495,1489145,1120771.783307,4.49
1616,288.23061,0.8207,1.5070741,1616626,1120754.501943,48.14
1617,288.49643,0.1415,0.2599054,1706832,1119721.83786,7.35
1618,288.5027,0.0956,0.17555,1508327,1119697.501237,4.59
1619,288.51462,0.119,0.2185796,1558164,1119651.224076,6.0
1620,288.52023,0.106,0.1947219,1342318,1119629.4557,5.22
1621,288.52221,0.0927,0.1701682,1459270,1119621.752829,4.42
1622,288.98844,0.0968,0.1778203,1297180,1117815.444826,4.67
1623,288.99899,0.2511,0.4611785,1631611,1117774.640371,13.93
1624,289.00662,0.7302,1.3409855,1521484,1117745.149112,42.71
1625,289.01425,0.2169,0.3982256,1520455,1117715.646083,11.87
1626,289.02146,0.1437,0.2638184,1475658,1117687.727647,7.48
1627,289.03538,0.7771,1.4270246,1637201,1117633.935833,45.52
1628,289.05064,0.1295,0.2378043,1639723,1117574.931757,6.63
1629,289.05651,0.117,0.2149103,1676193,1117552.223219,5.88
1630,289.07176,1.3349,2.4513564,1616588,1117493.250008,79.02
1631,289.09293,0.1034,0.1898733,1497997,1117411.418924,5.06
1632,289.10815,1.3235,2.43051,1592311,1117352.597303,78.34
1633,289.12928,0.1496,0.2747577,1368733,1117270.935222,7.84
1634,289.14453,0.5037,0.9250661,1623695,1117212.020278,29.1
1635,289.16566,0.1012,0.1857818,1218481,1117130.376827,4.93
1636,289.18093,0.1078,0.1979526,1159956,1117071.399961,5.32
1637,289.23396,0.1152,0.2116325,1128972,1116866.578988,5.77
1638,289.50425,0.1384,0.254134,1287900,1115823.830726,7.16
1639,289.5083,0.2314,0.425022,1544002,1115808.236965,12.75
1640,289.51053,0.117,0.2148002,1544012,1115799.612895,5.87
1641,289.51187,0.1196,0.2196955,1605774,1115794.44359,6.04
1642,289.99626,0.1894,0.347804,1661740,1113930.705383,10.22
1643,290.00387,0.0934,0.1714681,1418987,1113901.480655,4.46
1644,290.00683,0.1616,0.2967736,1493879,1113890.091197,8.56
1645,290.00949,0.0976,0.1791567,1213240,1113879.870954,4.71
1646,290.01441,0.1611,0.2958379,1209634,1113860.986142,8.53
1647,290.02208,0.215,0.3948452,1624628,1113831.540756,11.76
1648,290.03873,0.1135,0.2084849,1403310,1113767.572269,5.67
1649,290.0432,0.2851,0.5236293,1570268,1113750.419496,15.98
1650,290.04587,0.0962,0.1766612,1677147,1113740.156229,4.63
1651,290.06701,0.1397,0.2565028,1796046,1113659.019846,7.24
1652,290.07512,0.2218,0.407305,1441744,1113627.856028,12.17
1653,290.07959,0.3666,0.6732182,1648901,1113610.708123,20.87
1654,290.09936,0.0929,0.1705278,1284095,1113534.818208,4.43
1655,290.1034,0.1244,0.2284645,1594877,1113519.315481,6.32
1656,290.11151,0.2281,0.4188464,1546981,1113488.186874,12.55
1657,290.11598,0.2203,0.4046294,1611555,1113471.006903,12.08
1658,290.12453,0.2617,0.4806594,1639717,1113438.215936,14.57
1659,290.51971,0.1089,0.1999648,1438677,1111923.620677,5.39
1660,290.86619,0.1016,0.1865454,1386479,1110599.092516,4.95
1661,290.99352,0.1292,0.2371795,1670594,1110113.136199,6.61
1662,291.00409,0.1304,0.2394301,1285630,1110072.818915,6.68
1663,291.0117,0.1328,0.2437908,1307438,1110043.789375,6.82
1664,291.01464,0.3537,0.6495526,1605034,1110032.556463,20.09
1665,291.01732,0.129,0.2368766,1565545,1110022.338191,6.6
1666,291.02989,0.2181,0.4004859,1355277,1109974.420635,11.95
1667,291.05103,1.1596,2.1295178,1615204,1109893.789107,68.5
1668,291.07218,0.0974,0.1788273,1644024,1109813.149027,4.7
1669,291.08741,2.4923,4.5768213,1603063,1109755.056187,148.54
1670,291.1238,1.5835,2.9078774,1605949,1109616.355007,93.95
1671,291.16018,0.859,1.577363,1639951,1109477.68948,50.44
1672,291.19658,0.1138,0.2089165,1660751,1109339.010661,5.68
1673,291.49744,0.0929,0.1706095,1271987,1108194.028528,4.43
1674,291.50932,0.154,0.2828282,1516680,1108148.873496,8.1
1675,292.00134,0.2216,0.4069603,1577883,1106281.648471,12.16
1676,292.00986,0.1086,0.1994624,1705135,1106249.357772,5.37
1677,292.01954,0.1463,0.2687112,1396403,1106212.708122,7.64
1678,292.02248,0.1512,0.2775667,1664747,1106201.570142,7.93
1679,292.02515,0.1003,0.1841096,1747662,1106191.433599,4.87
1680,292.03773,0.1555,0.2855218,1525036,1106143.791216,8.19
1681,292.05438,0.1695,0.3111906,1658244,1106080.748175,9.03
1682,292.05885,0.3114,0.5718471,1607017,1106063.813617,17.55
1683,292.08268,0.1752,0.3216982,1527072,1105973.571209,9.37
1684,292.09076,0.3672,0.6742671,1658566,1105942.963033,20.9
1685,292.09524,0.404,0.7419499,1577425,1105926.003532,23.12
