,M/z,Intensity,Relative,Resolution,Frequency,S/N
13804,558.60319,0.0354,0.3209968,703805,578288.25852,9.42
13805,558.62154,0.019,0.1720967,548854,578269.261541,4.5
13806,559.00017,0.0471,0.4266483,754817,577877.576826,12.91
13807,559.0154,0.0637,0.5767075,742535,577861.835647,17.87
13808,559.01886,0.0189,0.1713408,811840,577858.25896,4.48
13809,559.02606,0.0436,0.3944401,719863,577850.811921,11.85
13810,559.02852,0.0203,0.1837815,671624,577848.275547,4.89
13811,559.03656,0.3724,3.3730645,781474,577839.960916,110.27
13812,559.03995,0.0243,0.2204263,901528,577836.462678,6.1
13813,559.04425,0.0543,0.49195,703092,577832.009979,15.07
13814,559.0483,0.0184,0.1665848,287389,577827.826832,4.32
13815,559.04958,0.0266,0.2408474,813273,577826.507764,6.78
13816,559.05177,0.1002,0.90729,760445,577824.238832,28.8
13817,559.05468,0.0648,0.5866866,849590,577821.22965,18.2
13818,559.05558,0.0255,0.2309962,658369,577820.303196,6.45
13819,559.05775,0.037,0.3350693,833352,577818.06344,9.89
13820,559.06239,0.0809,0.7327079,646333,577813.26876,23.03
13821,559.06393,0.025,0.2262812,887434,577811.669125,6.29
13822,559.06473,0.0185,0.1672272,866379,577810.844453,4.34
13823,559.07133,0.0228,0.2063305,1172499,577804.025899,5.64
13824,559.07295,0.6719,6.0849071,770054,577802.354022,199.87
13825,559.07635,0.0205,0.185663,718397,577798.837159,4.95
13826,559.08058,0.0545,0.4931836,696997,577794.467785,15.11
13827,559.08423,0.0245,0.2219891,464297,577790.687666,6.15
13828,559.08604,0.033,0.298591,580906,577788.818894,8.68
13829,559.08825,0.0581,0.5259105,735737,577786.541412,16.19
13830,559.09107,0.0724,0.6561011,761558,577783.622291,20.5
13831,559.09214,0.0293,0.2651924,638138,577782.51595,7.58
13832,559.09409,0.0924,0.8369918,763407,577780.501408,26.47
13833,559.0988,0.0381,0.3451806,682249,577775.6318,10.22
13834,559.10933,0.4692,4.2495322,784688,577764.756033,139.23
13835,559.12051,0.0307,0.2776805,598579,577753.199539,7.99
