,M/z,Intensity,Relative,Resolution,Frequency,S/N
10642,391.216,0.0439,0.5072386,1127205,825719.749845,9.62
10643,391.23372,0.0162,0.1878555,1122318,825682.359941,2.99
10644,391.24903,0.0147,0.1705959,1145083,825650.050921,2.64
10645,391.25237,0.1342,1.5521202,1136541,825642.98538,31.3
10646,391.26204,0.0204,0.2360112,1161600,825622.584065,3.99
10647,391.36507,0.0145,0.1674968,1073857,825405.229936,2.57
10648,391.5036,0.0382,0.4413599,1096033,825113.17195,8.25
10649,391.51013,0.0214,0.2469639,872635,825099.400648,4.22
10650,391.51416,0.0467,0.5405322,1088308,825090.919279,10.31
10651,391.51775,0.0333,0.3847507,1292239,825083.355798,7.08
10652,391.52179,0.0463,0.5354567,1225188,825074.832808,10.21
10653,391.52831,0.066,0.7629002,1016065,825061.097523,14.93
10654,391.53237,0.1037,1.1989992,1045606,825052.546997,23.97
10655,391.53397,0.0164,0.189769,1433575,825049.173618,3.03
10656,391.53593,0.0384,0.4446708,1029286,825045.04667,8.32
10657,391.53999,0.0282,0.3263549,1174881,825036.487845,5.87
10658,391.54294,0.029,0.3350236,995870,825030.273821,6.05
10659,391.5465,0.0865,1.0001541,1072680,825022.77039,19.85
10660,391.55056,0.11,1.2719427,1060021,825014.212127,25.49
10661,391.55212,0.0245,0.2835979,1004716,825010.923961,4.98
10662,391.55414,0.0229,0.2652149,1085841,825006.658992,4.6
10663,391.55819,0.0223,0.2578683,1326413,824998.128996,4.45
10664,391.56113,0.0414,0.4783204,981387,824991.950695,9.02
10665,391.5647,0.0732,0.8465955,1114146,824984.421968,16.66
10666,391.56875,0.0832,0.9625046,1149669,824975.879028,19.07
10667,391.57035,0.0215,0.2483381,670332,824972.510901,4.25
10668,391.57531,0.0162,0.1873122,1372931,824962.067333,2.98
10669,391.57928,0.0263,0.3045062,1078303,824953.693502,5.42
10670,391.58288,0.0381,0.4408728,1024037,824946.111514,8.24
10671,391.58696,0.0565,0.6531332,1153998,824937.515834,12.65
10672,391.58847,0.0165,0.1904399,1173340,824934.336222,3.05
10673,391.59752,0.016,0.185004,959977,824915.273568,2.94
10674,391.60112,0.0194,0.2239029,1085544,824907.684128,3.74
10675,391.60516,0.0261,0.3014955,1172963,824899.189931,5.35
10676,391.69044,0.0155,0.1791657,653329,824719.578826,2.81
10677,391.70251,0.0172,0.1988862,573457,824694.169146,3.22
10678,391.71476,0.0185,0.213433,906453,824668.374545,3.53
10679,391.72113,0.1377,1.5923643,1205941,824654.966588,32.14
10680,391.72684,0.019,0.2197709,1238943,824642.936042,3.66
10681,391.73897,0.0159,0.1836355,1237787,824617.412901,2.91
10682,391.91031,0.0226,0.2618125,1270252,824256.885816,4.53
10683,391.9775,0.017,0.1967579,1205719,824115.597928,3.18
10684,391.99157,0.0326,0.3770478,987823,824086.022216,6.92
10685,391.99763,0.0234,0.2709933,1078593,824073.274667,4.72
10686,392.00212,0.0425,0.4916772,1035863,824063.841857,9.3
10687,392.00818,0.0328,0.3798034,1125167,824051.100452,6.98
10688,392.00976,0.1201,1.3887693,1117128,824047.78928,27.91
10689,392.01737,0.0403,0.4667061,751877,824031.778481,8.78
10690,392.01941,0.0146,0.1691141,469102,824027.493921,2.61
