,m/z,I,S/N,Res.,I %
8129,503.16167,2847494,5.0,224530,1.0
8130,503.17137,5332232,11.0,364481,1.8
8131,503.22865,2448152,4.0,324774,0.8
8132,503.26493,3754274,7.2,449566,1.3
8133,503.30138,9192748,20.4,392056,3.1
8134,503.33766,21396790,50.2,344406,7.3
8135,503.37398,3509567,6.6,307153,1.2
8136,503.37765,2664768,4.5,441377,0.9
8137,503.75247,2485671,4.1,339130,0.8
8138,503.82449,2458042,4.0,369086,0.8
8139,504.01256,2574317,4.3,382814,0.9
8140,504.03625,2763252,4.8,322577,0.9
8141,504.09314,2717187,4.7,397763,0.9
8142,504.12977,2567693,4.3,383434,0.9
8143,504.14284,2481681,4.1,383970,0.8
8144,504.17487,2844186,5.0,408157,1.0
8145,504.34112,6002247,12.7,352996,2.0
8146,505.00472,6319867,13.4,376605,2.2
8147,505.02056,4104447,8.0,311753,1.4
8148,505.04126,6062853,12.8,341569,2.1
8149,505.04373,2767621,4.8,352230,0.9
8150,505.05653,8435465,18.6,367289,2.9
8151,505.06271,3887882,7.5,368359,1.3
8152,505.07203,4700941,9.5,414167,1.6
8153,505.08123,49037072,117.5,349979,16.7
8154,505.09436,7962387,17.4,371026,2.7
8155,505.11406,6782745,14.6,378644,2.3
8156,505.15047,6827810,14.7,315028,2.3
8157,505.18672,2665772,4.5,340940,0.9
8158,505.28061,4340550,8.6,374977,1.5
8159,505.3173,6442831,13.7,365838,2.2
8160,505.35355,7950169,17.4,367584,2.7
8161,505.39333,8374116,18.4,380874,2.9
8162,506.00788,2638346,4.5,417929,0.9
8163,506.03665,2734098,4.7,277729,0.9
8164,506.07266,2471451,4.1,406105,0.8
8165,506.08457,7559199,16.5,379388,2.6
8166,506.10357,2470436,4.1,271734,0.8
8167,506.32072,3239006,5.9,493227,1.1
8168,506.84266,2714859,4.7,512312,0.9
8169,506.84805,2478316,4.1,477821,0.8
8170,507.02073,6811931,14.6,354930,2.3
8171,507.03591,20341022,47.6,353455,6.9
8172,507.05708,3950884,7.7,383802,1.3
8173,507.06059,6480165,13.8,327199,2.2
8174,507.07222,4268329,8.4,350813,1.5
8175,507.08789,3353901,6.2,307944,1.1
8176,507.09319,7829806,17.1,398552,2.7
8177,507.1085,2837810,5.0,511225,1.0
8178,507.12961,11407672,25.8,354817,3.9
8179,507.16597,4787522,9.7,376058,1.6
