,m/z,I,S/N,Res.,I %
384,211.61352,2088061,4.3,902120,1.3
385,211.61629,2060413,4.2,1057774,1.3
386,211.63888,2069565,4.3,588596,1.3
387,211.71651,2065662,4.3,652538,1.3
388,211.71762,2118782,4.4,1095703,1.3
389,211.73834,2008446,4.1,1350788,1.2
390,211.74326,2109438,4.4,782402,1.3
391,211.7471,1994238,4.0,1144926,1.2
392,211.75004,2035326,4.2,825927,1.2
393,211.75588,1985150,4.0,955733,1.2
394,211.8008,2063998,4.2,748874,1.3
395,211.84551,2034622,4.2,877407,1.2
396,211.8877,2057087,4.2,704387,1.2
397,211.89194,2038655,4.2,982700,1.2
398,211.91579,2126719,4.4,1031845,1.3
399,211.93728,2095999,4.3,925073,1.3
400,211.95319,2181119,4.6,744312,1.3
401,211.99532,2140415,4.5,1046278,1.3
402,212.00219,2303359,5.0,906380,1.4
403,212.0201,8146304,22.6,604326,4.9
404,212.04258,1982848,4.0,667091,1.2
405,212.04767,2031232,4.1,1109137,1.2
406,212.09292,2189440,4.6,881101,1.3
407,212.10102,2428416,5.3,1032152,1.5
408,212.26338,2209537,4.7,1003119,1.3
409,212.2805,2023937,4.1,860379,1.2
410,212.30512,2044417,4.2,872476,1.2
411,212.31469,2079233,4.3,960629,1.3
412,212.35571,2003586,4.1,999469,1.2
413,212.37605,2171906,4.6,998626,1.3
414,212.41053,2199426,4.7,789858,1.3
415,212.42019,2110274,4.4,811487,1.3
416,212.43027,2379394,5.2,964384,1.4
417,212.43208,2054018,4.2,1030553,1.2
418,212.43922,2165122,4.6,741288,1.3
419,212.48205,1992643,4.0,591956,1.2
420,212.48446,2069507,4.3,746563,1.3
421,212.48809,2044227,4.2,703832,1.2
422,212.50225,2232323,4.8,888151,1.4
423,212.55043,2003459,4.1,855502,1.2
424,212.60898,1992644,4.0,730250,1.2
425,212.66275,2447364,5.4,1015475,1.5
426,212.68645,2158469,4.5,855643,1.3
427,212.69041,2189349,4.6,513276,1.3
428,212.74505,2238469,4.8,1015706,1.4
429,212.74634,2479365,5.5,916493,1.5
430,212.7754,2508165,5.6,922589,1.5
431,212.79069,2524294,5.6,1141203,1.5
432,212.86551,2054790,4.2,1085261,1.2
433,212.89837,2016519,4.1,1204614,1.2
434,212.92588,2168903,4.6,680565,1.3
435,213.00398,2017032,4.1,1149642,1.2
436,213.0153,2013192,4.1,785556,1.2
437,213.0194,3707528,9.2,1073856,2.2
438,213.02971,2108040,4.4,1012986,1.3
439,213.03063,2041224,4.2,765638,1.2
440,213.04054,3373448,8.2,855370,2.0
441,213.0464,2240328,4.8,871142,1.4
442,213.0558,3089288,7.3,1203642,1.9
443,213.07691,7465609,20.5,830773,4.5
444,213.08808,2556873,5.7,629145,1.6
445,213.10674,2593673,5.8,1017080,1.6
446,213.1112,2148105,4.5,911790,1.3
447,213.11331,11948681,34.0,794821,7.3
448,213.1325,2018953,4.1,917740,1.2
449,213.14968,8927881,24.9,802164,5.4
450,213.18608,5764746,15.4,928175,3.5
451,213.19153,2066698,4.3,1064843,1.3
452,213.2716,2073483,4.3,927548,1.3
453,213.27948,2195339,4.6,923844,1.3
454,213.28308,1986059,4.0,1112498,1.2
455,213.31268,2182411,4.6,980524,1.3
456,213.34371,2061068,4.2,1104849,1.3
457,213.35698,2022540,4.1,471611,1.2
458,213.40196,2158349,4.5,859185,1.3
459,213.42848,2020045,4.1,871005,1.2
460,213.43646,2034957,4.2,1073851,1.2
461,213.61352,2301839,5.0,1034174,1.4
462,213.63383,2074832,4.3,786882,1.3
463,213.63892,2086672,4.3,815016,1.3
464,213.66336,2524048,5.6,929298,1.5
465,213.78672,2018322,4.1,913073,1.2
466,213.80952,2053906,4.2,1077509,1.2
467,213.84136,2450835,5.4,790918,1.5
468,213.90341,2251348,4.8,804614,1.4
469,213.95561,2061333,4.2,1018509,1.3
470,214.02201,2039830,4.2,939345,1.2
471,214.02726,2505238,5.6,840979,1.5
472,214.03016,2215766,4.7,816234,1.3
473,214.04426,2051222,4.2,1014639,1.2
474,214.04612,2047638,4.2,556058,1.2
475,214.05107,2218134,4.7,1010798,1.3
476,214.06622,2191574,4.6,635789,1.3
477,214.08025,2051351,4.2,1026460,1.2
478,214.10178,2258583,4.8,874370,1.4
479,214.10322,2174423,4.6,685316,1.3
480,214.1165,2498007,5.6,766503,1.5
481,214.1211,1991383,4.0,874644,1.2
482,214.12219,2507927,5.6,929664,1.5
483,214.14499,2332440,5.1,1033708,1.4
484,214.14943,2049688,4.2,661967,1.2
485,214.18944,2632600,6.0,1027976,1.6
486,214.25797,2092186,4.3,912617,1.3
487,214.26849,2225690,4.7,1083626,1.4
488,214.29088,2043546,4.2,838875,1.2
489,214.32001,2126875,4.4,748694,1.3
490,214.40217,2409244,5.3,898674,1.5
491,214.42271,1983901,4.0,1107217,1.2
492,214.43872,2132317,4.5,739039,1.3
493,214.49781,2199262,4.7,679382,1.3
494,214.49988,2150878,4.5,879772,1.3
495,214.5631,2280735,4.9,1038677,1.4
496,214.5705,2260063,4.8,584114,1.4
497,214.68994,2231970,4.8,1074429,1.4
498,214.70038,2715682,6.2,789739,1.6
499,214.75887,2011235,4.1,789795,1.2
500,214.7933,1994916,4.0,1038735,1.2
501,214.80114,2349732,5.1,816872,1.4
502,214.83026,2173669,4.6,694347,1.3
503,214.84377,2111397,4.4,993467,1.3
504,214.85676,1986085,4.0,1215519,1.2
505,214.87284,1996069,4.0,1100093,1.2
506,214.87314,2038949,4.2,1243169,1.2
507,214.91593,2080934,4.3,1344698,1.3
508,214.91905,2137510,4.5,951617,1.3
509,214.92957,2355367,5.1,1304125,1.4
510,214.92996,3751399,9.3,625309,2.3
511,214.99627,2320424,5.0,1210202,1.4
512,215.03286,10718377,30.3,801060,6.5
513,215.03508,4961449,13.0,926239,3.0
514,215.04229,2032425,4.2,1246822,1.2
515,215.05616,3057577,7.2,980802,1.9
516,215.06322,1995434,4.0,1085917,1.2
517,215.06707,2024874,4.1,875527,1.2
518,215.07143,3681194,9.1,830256,2.2
519,215.08392,2286698,4.9,671572,1.4
520,215.09257,12598954,36.0,748074,7.6
521,215.09373,2074026,4.3,963456,1.3
522,215.12895,34163884,100.9,738520,20.7
523,215.16533,17044652,49.4,719928,10.3
524,215.16576,2446508,5.4,1435915,1.5
525,215.19486,2086636,4.3,682182,1.3
526,215.23485,2044973,4.2,1137009,1.2
527,215.27588,2112686,4.4,782465,1.3
528,215.40869,2078513,4.3,806591,1.3
529,215.44732,2050418,4.2,887366,1.2
530,215.49252,2011827,4.1,846010,1.2
531,215.49672,2208308,4.7,739250,1.3
532,215.50971,2091572,4.3,1155584,1.3
533,215.51454,2014388,4.1,1123483,1.2
534,215.54752,2594357,5.8,572692,1.6
535,215.57839,2035894,4.2,1066625,1.2
536,215.69416,2077368,4.3,1005587,1.3
537,215.74293,2130106,4.4,929181,1.3
538,215.75926,2178234,4.6,905541,1.3
539,215.8632,2029501,4.1,777255,1.2
540,215.86602,2104381,4.4,868542,1.3
541,215.87275,2193085,4.6,1030484,1.3
542,215.90388,2146494,4.5,1189143,1.3
543,215.94042,2249535,4.8,926201,1.4
544,215.94396,2309695,5.0,923616,1.4
545,215.94604,2322623,5.0,965549,1.4
546,215.95442,2038591,4.2,1001486,1.2
547,215.99651,2537408,5.7,1060421,1.5
548,216.00644,2577601,5.8,866168,1.6
549,216.01604,2011457,4.1,684717,1.2
550,216.03032,2381121,5.2,1007298,1.4
551,216.04285,2478786,5.5,757134,1.5
552,216.05144,3675586,9.1,950187,2.2
553,216.0667,2500162,5.6,958828,1.5
554,216.07689,2437571,5.4,919660,1.5
555,216.09405,2306307,5.0,769391,1.4
556,216.0961,2102211,4.4,1265165,1.3
557,216.13229,4154436,10.5,720955,2.5
558,216.16048,1994757,4.0,596078,1.2
559,216.16729,2124229,4.4,573149,1.3
560,216.16869,2259909,4.8,1205023,1.4
561,216.18215,2162118,4.5,906569,1.3
562,216.297,1987401,4.0,767353,1.2
563,216.34025,2011722,4.1,709088,1.2
564,216.34822,2215754,4.7,987287,1.3
565,216.37537,2095371,4.3,712344,1.3
566,216.38838,2119499,4.4,966150,1.3
567,216.39344,2118092,4.4,1233256,1.3
568,216.42544,2145613,4.5,979453,1.3
569,216.49618,2964687,7.0,833904,1.8
570,216.55612,2259408,4.8,792189,1.4
571,216.62675,2046803,4.2,819199,1.2
572,216.64222,2129363,4.4,874521,1.3
573,216.6655,2072852,4.3,661197,1.3
574,216.69427,2193557,4.6,780579,1.3
575,216.7001,2045973,4.2,737204,1.2
576,216.70147,2021461,4.1,1089307,1.2
577,216.74835,2119638,4.4,728796,1.3
578,216.75422,2016727,4.1,920233,1.2
579,216.87394,2172506,4.6,986443,1.3
580,216.89315,2064859,4.2,931669,1.3
581,216.93578,2523036,5.6,642387,1.5
582,217.01429,6586079,17.9,817644,4.0
583,217.02971,3805663,9.5,767252,2.3
584,217.03546,2219872,4.7,807321,1.3
585,217.05069,6731488,18.3,736109,4.1
586,217.05267,1992032,4.0,991707,1.2
587,217.06369,2534753,5.7,595914,1.5
588,217.07175,2237153,4.8,1332141,1.4
589,217.08585,2115233,4.4,696300,1.3
590,217.0871,2469217,5.5,803610,1.5
591,217.10818,19258082,56.0,607821,11.7
592,217.10993,2398050,5.3,1007725,1.5
593,217.11757,2229346,4.7,689210,1.4
594,217.11979,2071010,4.3,967192,1.3
595,217.1351,2171619,4.6,977763,1.3
596,217.14459,5211619,13.7,871974,3.2
597,217.22938,2190630,4.6,709531,1.3
598,217.23039,2002278,4.1,1010072,1.2
599,217.2325,2117350,4.4,1117568,1.3
600,217.23978,2381158,5.2,865145,1.4
601,217.24231,2451975,5.4,546699,1.5
602,217.24737,2038247,4.2,982582,1.2
603,217.24915,2118247,4.4,878068,1.3
604,217.26334,2138855,4.5,1011414,1.3
605,217.30671,2256361,4.8,823902,1.4
606,217.32337,2316393,5.0,1113424,1.4
607,217.33184,2459882,5.4,776692,1.5
608,217.38796,2026092,4.1,891849,1.2
609,217.43049,1994093,4.0,1021009,1.2
610,217.46645,2021102,4.1,898871,1.2
611,217.58997,2102899,4.4,979286,1.3
612,217.63073,2414324,5.3,903829,1.5
613,217.6484,2063093,4.2,1044071,1.3
614,217.73373,2150136,4.5,984214,1.3
615,217.75978,2066553,4.3,1062940,1.3
616,217.77161,2219513,4.7,1018843,1.3
617,217.80292,2155835,4.5,791334,1.3
618,217.88228,2253310,4.8,880996,1.4
619,217.88522,2175102,4.6,887116,1.3
620,217.90021,2319870,5.0,884054,1.4
621,217.94871,2264448,4.8,689130,1.4
622,217.99548,2029826,4.1,826203,1.2
623,218.00856,2109186,4.4,1089619,1.3
624,218.02131,2243395,4.8,787099,1.4
625,218.02216,4122115,10.4,778294,2.5
626,218.04598,2415236,5.3,1009162,1.5
627,218.05855,2103044,4.4,1143739,1.3
628,218.08414,2427269,5.3,896284,1.5
629,218.11062,2260998,4.8,1058033,1.4
630,218.11127,2380038,5.2,1175419,1.4
631,218.11156,3489030,8.5,1103229,2.1
632,218.16968,2024073,4.1,960890,1.2
633,218.18568,2398985,5.3,774591,1.5
634,218.22817,2172043,4.6,453949,1.3
635,218.26687,2043853,4.2,745384,1.2
636,218.27953,2557197,5.7,835508,1.6
637,218.34191,2009040,4.1,729229,1.2
638,218.40273,2046930,4.2,851465,1.2
639,218.50218,2290838,4.9,967749,1.4
640,218.52018,2077207,4.3,899088,1.3
641,218.6333,2008092,4.1,947638,1.2
642,218.68094,2145694,4.5,869872,1.3
643,218.72339,2333472,5.1,877838,1.4
644,218.72802,2200096,4.7,892516,1.3
645,218.76001,2026785,4.1,631570,1.2
646,218.80078,2127651,4.4,1034468,1.3
647,218.80145,2139555,4.5,853012,1.3
648,218.85176,2689317,6.1,815826,1.6
649,218.92454,2007592,4.1,1041411,1.2
