,m/z,I,S/N,Res.,I %
5324,398.82302,2238100,4.0,696747,0.7
5325,398.951,5333728,12.3,448406,1.7
5326,398.99939,2766077,5.4,549137,0.9
5327,399.03341,2558225,4.9,580917,0.8
5328,399.0358,10171155,25.2,487399,3.2
5329,399.04629,2446617,4.6,470200,0.8
5330,399.05678,4965151,11.3,470278,1.5
5331,399.07211,7498536,18.1,485578,2.3
5332,399.09322,4777781,10.8,497979,1.5
5333,399.10853,5709630,13.3,486779,1.8
5334,399.12974,4111178,9.0,548671,1.3
5335,399.14487,5279572,12.1,460308,1.6
5336,399.16603,2783584,5.5,578572,0.9
5337,399.18119,3864425,8.4,456884,1.2
5338,399.21772,2267007,4.1,645644,0.7
5339,399.27529,5374881,12.4,512844,1.7
5340,399.31157,3583926,7.6,623317,1.1
5341,399.31986,2792379,5.5,462104,0.9
5342,399.52544,2237493,4.0,585814,0.7
5343,399.59213,2393180,4.4,476920,0.7
5344,399.83062,2240489,4.0,422913,0.7
5345,400.0436,3041639,6.2,609852,0.9
5346,400.05428,3030894,6.1,349843,0.9
5347,400.06173,2393458,4.4,683917,0.7
5348,400.07992,2336125,4.3,532962,0.7
5349,400.09056,2496899,4.7,647848,0.8
5350,400.11193,2343312,4.3,559589,0.7
5351,400.38647,2317362,4.2,601828,0.7
5352,400.61925,2359995,4.3,380850,0.7
5353,400.70437,2373357,4.4,361067,0.7
5354,400.87369,2742096,5.4,443637,0.9
5355,400.96642,2382215,4.4,364535,0.7
5356,401.01252,3296162,6.8,352230,1.0
5357,401.01505,5805988,13.5,483702,1.8
5358,401.02145,2530727,4.8,444174,0.8
5359,401.03332,3023790,6.1,539824,0.9
5360,401.04865,2282167,4.1,387663,0.7
5361,401.05138,11388857,28.5,472301,3.5
5362,401.0725,2828741,5.6,467792,0.9
5363,401.08779,9451470,23.3,503936,2.9
5364,401.10906,3328475,6.9,460970,1.0
5365,401.12423,8542179,20.9,475297,2.7
5366,401.16057,8161273,19.8,443375,2.5
5367,401.16915,2263806,4.1,439316,0.7
5368,401.19686,4813838,10.9,494921,1.5
5369,401.21817,2865179,5.7,589519,0.9
5370,401.25441,3531824,7.5,476600,1.1
5371,401.52712,2399952,4.4,385722,0.7
5372,401.76084,2243161,4.0,353930,0.7
5373,401.92547,2473913,4.6,450402,0.8
