,m/z,I,S/N,Res.,I %
256,208.24602,2222841,4.8,709891,4.7
257,208.27801,2048569,4.2,1002657,4.3
258,208.33802,1982136,4.0,906049,4.2
259,208.49675,2047606,4.2,901434,4.3
260,208.51972,1999414,4.1,854154,4.2
261,208.59052,2095861,4.4,913413,4.4
262,208.61895,2045877,4.2,919545,4.3
263,208.65703,1993141,4.1,1173700,4.2
264,208.70204,2085108,4.3,883402,4.4
265,208.70826,1987188,4.0,875504,4.2
266,208.72544,2160308,4.6,1079195,4.6
267,208.73119,1998644,4.1,1174263,4.2
268,208.74106,2343860,5.1,969050,5.0
269,208.76671,2332340,5.1,1009756,4.9
270,208.82943,2395059,5.3,922898,5.1
271,208.87893,2151667,4.5,905018,4.6
272,208.88093,2087859,4.4,723003,4.4
273,208.93427,2072498,4.3,1134484,4.4
274,209.00823,2216050,4.7,901507,4.7
275,209.00921,4497586,11.7,882987,9.5
276,209.01001,2106930,4.4,1240397,4.5
277,209.0132,2190770,4.7,972282,4.6
278,209.02405,2064049,4.3,1095288,4.4
279,209.02443,4716978,12.3,856342,10.0
280,209.05501,2052145,4.2,1053981,4.4
281,209.06084,8477105,23.7,868317,18.0
282,209.07208,2074801,4.3,893731,4.4
283,209.08201,2473009,5.5,1008337,5.2
284,209.1193,1977265,4.0,1157395,4.2
285,209.1251,2092561,4.4,701577,4.4
286,209.16232,1976432,4.0,734670,4.2
287,209.16893,1999280,4.1,1080020,4.2
288,209.19697,2123696,4.5,1253174,4.5
289,209.1984,2039472,4.2,994192,4.3
290,209.20825,2052784,4.2,1042898,4.4
291,209.23312,2056240,4.3,1051916,4.4
292,209.2505,2363568,5.2,669668,5.0
293,209.25236,2027952,4.2,1061052,4.3
294,209.28322,2022063,4.2,865083,4.3
295,209.37736,1987439,4.0,600522,4.2
296,209.38413,2165871,4.6,917159,4.6
297,209.40019,2135599,4.5,1068190,4.5
298,209.43728,2209583,4.7,932689,4.7
299,209.44362,1992238,4.1,1032223,4.2
300,209.47027,2244846,4.8,865666,4.8
301,209.4808,2023470,4.2,1044897,4.3
302,209.50396,2273454,4.9,626021,4.8
303,209.51944,2228654,4.8,801864,4.7
304,209.5349,1993454,4.1,986919,4.2
305,209.576,2051054,4.2,853958,4.3
306,209.59749,2147118,4.5,547592,4.6
307,209.71724,2212909,4.7,887628,4.7
308,209.72253,2025325,4.2,820400,4.3
309,209.80485,2448173,5.4,922963,5.2
310,209.81195,2059052,4.3,1066350,4.4
311,209.82778,2204844,4.7,989408,4.7
312,209.84684,2294828,5.0,896089,4.9
313,209.86609,2243820,4.8,687939,4.8
314,209.91094,2007980,4.1,781919,4.3
315,209.99782,2036780,4.2,721334,4.3
316,210.01916,2117180,4.4,485745,4.5
317,210.03193,2484140,5.6,881615,5.3
318,210.03227,5954732,16.1,895390,12.6
319,210.05608,6901676,18.9,820524,14.6
320,210.06855,2155404,4.6,729639,4.6
321,210.07438,2015531,4.1,1041301,4.3
322,210.09078,2052139,4.2,614808,4.4
323,210.11199,1984875,4.0,819752,4.2
324,210.12004,2443179,5.4,1043895,5.2
325,210.13487,2029099,4.2,842213,4.3
326,210.18084,2323883,5.1,1013305,4.9
327,210.18836,2315563,5.0,831027,4.9
328,210.20144,2080683,4.3,719627,4.4
329,210.22478,2021803,4.2,969244,4.3
330,210.25401,2000235,4.1,880185,4.2
331,210.26042,2116011,4.4,1032170,4.5
332,210.27056,2007851,4.1,937867,4.3
333,210.32746,2594091,5.9,885217,5.5
334,210.33416,2120363,4.5,878154,4.5
335,210.5299,1980586,4.0,1089376,4.2
336,210.58333,1982698,4.0,979325,4.2
337,210.60041,2118378,4.4,701720,4.5
338,210.61285,2147434,4.5,630343,4.6
339,210.63756,2209642,4.7,795088,4.7
340,210.67512,2181674,4.6,1119306,4.6
341,210.69024,1974826,4.0,1024047,4.2
342,210.69877,2101290,4.4,997835,4.5
343,210.70385,2015658,4.1,1212314,4.3
344,210.80843,2314410,5.0,834905,4.9
345,210.84132,2032554,4.2,567349,4.3
346,210.87012,2310826,5.0,1105240,4.9
347,210.90867,1993450,4.1,954568,4.2
348,210.95522,1973418,4.0,703968,4.2
349,210.96483,2309546,5.0,1020198,4.9
350,210.9941,1980714,4.0,840351,4.2
351,211.00447,2409514,5.3,925241,5.1
352,211.02745,2614314,5.9,1026432,5.5
353,211.04009,18666410,54.6,761665,39.6
354,211.05133,4559019,11.8,977318,9.7
355,211.06919,2322922,5.1,818196,4.9
356,211.07648,5972395,16.1,952248,12.7
357,211.08499,2014762,4.1,1126468,4.3
358,211.08705,2023850,4.2,845482,4.3
359,211.11652,2060202,4.3,1104802,4.4
360,211.11856,2116395,4.4,1126019,4.5
361,211.18217,2256555,4.9,988982,4.8
362,211.20464,2089451,4.4,999465,4.4
363,211.23947,2125227,4.5,631875,4.5
364,211.24751,2049195,4.2,1014246,4.3
365,211.3496,2049643,4.2,785617,4.3
366,211.356,2678443,6.1,895434,5.7
367,211.40729,2008235,4.1,996420,4.3
368,211.40866,2024619,4.2,1290158,4.3
369,211.4099,2076267,4.3,933323,4.4
370,211.47651,2173995,4.6,964617,4.6
371,211.4807,2007147,4.1,917598,4.3
372,211.50866,2012843,4.1,1065212,4.3
373,211.53903,2086124,4.3,757775,4.4
374,211.60333,2054252,4.3,784590,4.4
375,211.64506,2134188,4.5,924231,4.5
376,211.64818,2098092,4.4,1079444,4.4
377,211.66075,2334828,5.1,761450,4.9
378,211.66241,1989900,4.1,630556,4.2
379,211.67583,2250668,4.8,794599,4.8
380,211.69274,2061612,4.3,1036933,4.4
381,211.73997,2118860,4.4,586207,4.5
382,211.82302,2113389,4.4,780544,4.5
383,211.8589,2055853,4.3,779536,4.4
384,211.94769,2197101,4.7,898556,4.7
