,m/z,I,S/N,Res.,I %
7381,489.99936,2400040,4.0,362337,1.3
7382,490.01766,3637549,7.1,367310,2.0
7383,490.02029,3829038,7.6,403635,2.1
7384,490.03308,3324209,6.3,380999,1.8
7385,490.03565,3568946,6.9,490139,2.0
7386,490.044,2463028,4.2,481038,1.4
7387,490.04827,4891957,10.2,412054,2.7
7388,490.05672,4520248,9.3,354081,2.5
7389,490.07198,4922684,10.3,357354,2.7
7390,490.08479,2962751,5.4,398163,1.6
7391,491.00447,4831805,10.1,356127,2.7
7392,491.0198,6742593,14.9,372467,3.7
7393,491.02567,4108866,8.3,352596,2.3
7394,491.04088,30032454,73.1,362233,16.6
7395,491.04345,4814407,10.0,264282,2.7
7396,491.05216,3984970,8.0,437114,2.2
7397,491.05622,9370187,21.4,353069,5.2
7398,491.06726,3055182,5.6,441110,1.7
7399,491.07696,3355728,6.4,330963,1.9
7400,491.07963,2637393,4.6,403219,1.5
7401,491.09243,4031061,8.1,408503,2.2
7402,491.82207,2710300,4.8,397321,1.5
7403,491.9995,2909004,5.3,455805,1.6
7404,492.01211,2651983,4.6,454753,1.5
7405,492.01482,3356496,6.4,445995,1.9
7406,492.01882,2557777,4.4,420624,1.4
7407,492.02757,4190035,8.5,395102,2.3
7408,492.03274,2477909,4.2,361892,1.4
7409,492.03594,6628182,14.6,423265,3.7
7410,492.04413,6771544,14.9,432180,3.8
7411,492.0478,3689817,7.2,279039,2.0
7412,492.05132,6191962,13.5,386055,3.4
7413,492.05953,3535196,6.8,313808,2.0
7414,492.06381,3843933,7.6,377288,2.1
7415,492.07273,3614047,7.0,283349,2.0
7416,492.11178,3146602,5.9,376102,1.7
7417,492.17585,2900859,5.3,338441,1.6
7418,492.97916,5160020,10.9,383898,2.9
7419,492.99934,3066969,5.7,456479,1.7
7420,493.02009,7547999,16.9,400919,4.2
7421,493.03132,5556322,11.9,316896,3.1
7422,493.03541,7955555,17.9,370278,4.4
7423,493.04272,2717285,4.8,288069,1.5
7424,493.04657,2443366,4.1,490641,1.4
7425,493.05633,7234665,16.1,389823,4.0
7426,493.05909,4579434,9.5,344292,2.5
7427,493.06766,2732140,4.8,449977,1.5
7428,493.07152,6315117,13.8,320174,3.5
7429,493.33949,2567861,4.4,358302,1.4
7430,493.55542,2501870,4.3,365977,1.4
7431,493.80501,2579249,4.5,399470,1.4
7432,494.00679,3188071,6.0,423115,1.8
7433,494.0153,5143913,10.9,473084,2.9
7434,494.02797,2677100,4.7,266852,1.5
7435,494.03054,5811565,12.5,376306,3.2
7436,494.03451,2840942,5.1,440406,1.6
7437,494.04332,4786544,10.0,361542,2.7
7438,494.05163,4258163,8.7,346693,2.4
7439,494.06311,2873718,5.2,476775,1.6
7440,494.06706,4581751,9.5,410857,2.5
7441,494.09135,2620797,4.6,283738,1.5
7442,494.10337,2759552,4.9,381774,1.5
7443,494.39683,3360206,6.4,382523,1.9
7444,494.5117,2412013,4.0,531883,1.3
7445,494.99948,3449453,6.6,432224,1.9
7446,495.01463,6002289,13.0,391041,3.3
7447,495.03581,6035063,13.1,359120,3.3
7448,495.03848,4181623,8.5,456343,2.3
