,m/z,I,S/N,Res.,I %
204,206.10836,2056373,4.2,647676,0.6
205,206.14888,2192116,4.6,668574,0.6
206,206.20763,1998450,4.0,997627,0.5
207,206.28002,2111312,4.4,647102,0.6
208,206.32644,2986927,7.0,677035,0.8
209,206.44754,2050860,4.2,1027101,0.6
210,206.46115,2095468,4.3,809349,0.6
211,206.48882,2026603,4.1,625238,0.6
212,206.62903,2271272,4.8,880585,0.6
213,206.63835,2057640,4.2,1160408,0.6
214,206.66243,2017815,4.1,490850,0.6
215,206.67027,2040295,4.1,951498,0.6
216,206.67186,2281255,4.9,759732,0.6
217,206.68061,2013863,4.1,896791,0.6
218,206.70004,2084070,4.3,885548,0.6
219,206.71783,2132646,4.4,870545,0.6
220,206.75252,2031013,4.1,1115642,0.6
221,206.7707,2112101,4.4,983656,0.6
222,206.77848,2143140,4.4,1115822,0.6
223,206.82286,2054307,4.2,1081847,0.6
224,206.87722,2025186,4.1,973516,0.6
225,206.9333,2065585,4.2,515592,0.6
226,206.94526,2182817,4.6,834259,0.6
227,206.99356,14057119,40.1,807857,3.8
228,206.99818,2009055,4.0,727185,0.5
229,207.01752,2300735,4.9,583356,0.6
230,207.02997,24730270,72.0,778928,6.8
231,207.06634,13525662,38.5,838105,3.7
232,207.07946,2562462,5.7,1010646,0.7
233,207.10272,6505629,17.5,867419,1.8
234,207.13154,2047836,4.2,903338,0.6
235,207.13607,2024092,4.1,1236571,0.6
236,207.15203,2096028,4.3,1120661,0.6
237,207.1525,2661788,6.0,1021876,0.7
238,207.2133,2068827,4.2,852817,0.6
239,207.33025,2240984,4.7,915757,0.6
240,207.41976,2001495,4.0,915700,0.5
241,207.47292,2296470,4.9,1081540,0.6
242,207.48142,2022741,4.1,828977,0.6
243,207.5174,2149205,4.5,861849,0.6
244,207.56375,2411156,5.3,1056772,0.7
245,207.62939,2037715,4.1,764863,0.6
246,207.66706,2154770,4.5,1085938,0.6
247,207.68811,2057362,4.2,1063204,0.6
248,207.69265,2076177,4.2,963039,0.6
249,207.753,2066256,4.2,978512,0.6
250,207.76326,2005392,4.0,861678,0.5
251,207.79109,2037328,4.1,876929,0.6
252,207.80893,2030863,4.1,1004525,0.6
253,207.81812,2014095,4.1,1209358,0.6
254,207.82413,2113807,4.4,1021047,0.6
255,207.82876,2006031,4.0,1078678,0.5
256,207.85403,2015119,4.1,1184011,0.6
257,207.87644,2207246,4.6,1098854,0.6
258,207.90651,2178574,4.6,1076496,0.6
259,207.93956,2368205,5.1,760037,0.6
260,208.00148,2096140,4.3,1369618,0.6
261,208.02519,6246156,16.7,746306,1.7
262,208.03334,2899852,6.7,1056652,0.8
263,208.03773,2491212,5.5,829296,0.7
264,208.05597,2041483,4.1,956864,0.6
265,208.06158,2716043,6.2,917688,0.7
266,208.07415,2317451,5.0,956438,0.6
267,208.09538,2079179,4.3,844205,0.6
268,208.16321,2149514,4.5,1035984,0.6
269,208.17554,2006153,4.0,691182,0.5
270,208.2701,2060552,4.2,1077628,0.6
271,208.29459,2042376,4.1,1061627,0.6
272,208.36751,2291847,4.9,1115981,0.6
273,208.37486,2106759,4.3,1211605,0.6
274,208.41182,2092422,4.3,1342209,0.6
275,208.41286,2327910,5.0,613086,0.6
276,208.44043,2001734,4.0,1058757,0.5
277,208.48572,2916101,6.8,911811,0.8
278,208.54628,2026308,4.1,976959,0.6
279,208.56549,2412548,5.3,806830,0.7
280,208.56755,2026244,4.1,1048369,0.6
281,208.60765,2093955,4.3,1074633,0.6
282,208.61513,2019971,4.1,1051454,0.6
283,208.62812,2287491,4.9,1118930,0.6
284,208.71576,1996674,4.0,1182507,0.5
285,208.74863,2019586,4.1,1200243,0.6
286,208.79549,2167873,4.5,658804,0.6
287,208.83283,2017153,4.1,948607,0.6
288,208.83555,2076865,4.3,957909,0.6
289,208.84053,2302209,4.9,961142,0.6
290,208.92752,2395520,5.2,825241,0.7
291,208.9652,2102527,4.3,1056139,0.6
292,209.00849,2081919,4.3,1070382,0.6
293,209.00923,16465535,47.3,691473,4.5
294,209.01661,2107007,4.3,1316064,0.6
295,209.01687,2397055,5.2,1273316,0.7
296,209.02306,2142974,4.4,1100238,0.6
297,209.04321,2067710,4.2,1092097,0.6
298,209.04497,3485054,8.5,1120951,1.0
299,209.04559,27686526,80.8,578692,7.6
300,209.07248,2003262,4.0,966870,0.5
301,209.07957,35892860,105.4,632575,9.8
302,209.08198,9100414,25.3,652753,2.5
303,209.08534,2265214,4.8,1356617,0.6
304,209.09214,2161342,4.5,811156,0.6
305,209.0929,2130302,4.4,1077084,0.6
306,209.11838,9948541,27.8,654149,2.7
307,209.15208,2154429,4.5,893722,0.6
308,209.17723,2136317,4.4,1162084,0.6
309,209.28615,2021116,4.1,864241,0.6
310,209.33239,2054779,4.2,1130709,0.6
311,209.34245,2220027,4.7,1097274,0.6
312,209.40282,2184827,4.6,1195671,0.6
313,209.44686,2017914,4.1,964835,0.6
314,209.49775,2091770,4.3,794435,0.6
315,209.50416,2117498,4.4,1002042,0.6
316,209.54523,2062202,4.2,872943,0.6
317,209.54663,2437754,5.3,905038,0.7
318,209.56515,2155514,4.5,1024066,0.6
319,209.60523,2103417,4.3,982886,0.6
320,209.61856,2013881,4.1,979176,0.6
321,209.6288,2106489,4.3,975366,0.6
322,209.78098,2306232,4.9,665648,0.6
323,209.80252,2019768,4.1,873831,0.6
324,209.81625,2121656,4.4,886990,0.6
325,209.85303,2052536,4.2,915877,0.6
326,209.8595,2070520,4.2,1149016,0.6
327,209.93063,2698103,6.1,859218,0.7
328,209.93319,2265207,4.8,932890,0.6
329,209.94173,2028855,4.1,936945,0.6
330,209.96216,2098039,4.3,882134,0.6
331,209.96899,2032951,4.1,984912,0.6
