peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
8041	538.199086	0.011471673	-0.12551675	18	O7	H30_C33_O7	0	33	30	7	0	0
8051	538.387106	0.00907031	0.281505627	4	O7	H54_C31_O7	0	31	54	7	0	0
8089	540.120876	0.017290673	-0.050327623	24	O7	H20_C34_O7	0	34	20	7	0	0
8096	540.214806	0.00904203	0.004392697	17	O7	H32_C33_O7	0	33	32	7	0	0
8104	540.308586	0.014987751	-0.218525123	10	O7	H44_C32_O7	0	32	44	7	0	0
8145	542.136776	0.014780456	0.410861262	23	O7	H22_C34_O7	0	34	22	7	0	0
8152	542.230566	0.007990628	0.207105624	16	O7	H34_C33_O7	0	33	34	7	0	0
8156	542.324406	0.015424998	0.095616202	9	O7	H46_C32_O7	0	32	46	7	0	0
8160	542.418186	0.010854715	-0.126450406	2	O7	H58_C31_O7	0	31	58	7	0	0
8186	544.058266	0.013329197	-0.067799723	29	O7	H12_C35_O7	0	35	12	7	0	0
8199	544.152256	0.016076858	0.096790925	22	O7	H24_C34_O7	0	34	24	7	0	0
8205	544.245896	0.008305537	-0.381766774	15	O7	H36_C33_O7	0	33	36	7	0	0
8208	544.339896	0.020032819	-0.198807768	8	O7	H48_C32_O7	0	32	48	7	0	0
8234	546.073856	0.032426705	-0.177560231	28	O7	H14_C35_O7	0	35	14	7	0	0
8244	546.168006	0.015129824	0.279392052	21	O7	H26_C34_O7	0	34	26	7	0	0
8249	546.261556	0.008689035	-0.362187303	14	O7	H38_C33_O7	0	33	38	7	0	0
8254	546.355686	0.019175279	0.058033623	7	O7	H50_C32_O7	0	32	50	7	0	0
8285	548.089506	0.032118065	-0.177042251	27	O7	H16_C35_O7	0	35	16	7	0	0
8296	548.183526	0.01343695	0.041082957	20	O7	H28_C34_O7	0	34	28	7	0	0
8301	548.277366	0.01243465	-0.069167546	13	O7	H40_C33_O7	0	33	40	7	0	0
8307	548.371386	0.015412022	0.148864441	6	O7	H52_C32_O7	0	32	52	7	0	0
8337	550.105286	0.023724766	0.059790373	26	O7	H18_C35_O7	0	35	18	7	0	0
8345	550.199096	0.009253032	-0.104603952	19	O7	H30_C34_O7	0	34	30	7	0	0
8352	550.293036	0.011618832	-0.032704393	12	O7	H42_C33_O7	0	33	42	7	0	0
8357	550.387066	0.009253181	0.2026919	5	O7	H54_C32_O7	0	32	54	7	0	0
8388	552.120926	0.01583263	0.041326092	25	O7	H20_C35_O7	0	35	20	7	0	0
8395	552.214806	0.00930234	0.004297241	18	O7	H32_C34_O7	0	34	32	7	0	0
8402	552.308586	0.01086266	-0.213777231	11	O7	H44_C33_O7	0	33	44	7	0	0
8406	552.402676	0.010501758	0.129407411	4	O7	H56_C32_O7	0	32	56	7	0	0
8443	554.136656	0.014199357	0.185410943	24	O7	H22_C35_O7	0	35	22	7	0	0
8456	554.324246	0.011866589	-0.195093397	10	O7	H46_C33_O7	0	33	46	7	0	0
8461	554.418226	0.015882133	-0.051565765	3	O7	H58_C32_O7	0	32	58	7	0	0
8494	556.152286	0.012733124	0.148644539	23	O7	H24_C35_O7	0	35	24	7	0	0
8500	556.245996	0.007512485	-0.193754204	16	O7	H36_C34_O7	0	34	36	7	0	0
8503	556.340016	0.013699844	0.021175899	9	O7	H48_C33_O7	0	33	48	7	0	0
8509	556.433926	0.01655788	0.038345972	2	O7	H60_C32_O7	0	32	60	7	0	0
8531	558.074076	0.023593646	0.220470732	29	O7	H14_C36_O7	0	36	14	7	0	0
8541	558.167866	0.01016605	0.022564896	22	O7	H26_C35_O7	0	35	26	7	0	0
8548	558.261576	0.008414945	-0.318576466	15	O7	H38_C34_O7	0	34	38	7	0	0
8551	558.355816	0.020413697	0.289612816	8	O7	H50_C33_O7	0	33	50	7	0	0
8556	558.449526	0.014990196	-0.051458545	1	O7	H62_C32_O7	0	32	62	7	0	0
8575	560.089746	0.026411337	0.255253736	28	O7	H16_C36_O7	0	36	16	7	0	0
8586	560.183616	0.010683646	0.200864497	21	O7	H28_C35_O7	0	35	28	7	0	0
8597	560.371326	0.017664621	0.038604759	7	O7	H52_C33_O7	0	33	52	7	0	0
8621	562.105456	0.018889026	0.360948284	27	O7	H18_C36_O7	0	36	18	7	0	0
8627	562.199066	0.011702413	-0.155733094	20	O7	H30_C35_O7	0	35	30	7	0	0
8632	562.293006	0.011735299	-0.085359411	13	O7	H42_C34_O7	0	34	42	7	0	0
8638	562.387066	0.012916738	0.198366937	6	O7	H54_C33_O7	0	33	54	7	0	0
8665	564.121176	0.014230626	0.48361418	26	O7	H20_C36_O7	0	36	20	7	0	0
8671	564.214756	0.00629372	-0.084412893	19	O7	H32_C35_O7	0	35	32	7	0	0
8677	564.308686	0.010835807	-0.032023253	12	O7	H44_C34_O7	0	34	44	7	0	0
8682	564.402756	0.009120498	0.26839876	5	O7	H56_C33_O7	0	33	56	7	0	0
8716	566.136666	0.011308465	0.199144494	25	O7	H22_C36_O7	0	36	22	7	0	0
8722	566.230456	0.006952966	0.004060184	18	O7	H34_C35_O7	0	35	34	7	0	0
8729	566.324256	0.014041265	-0.173301777	11	O7	H46_C34_O7	0	34	46	7	0	0
8732	566.418386	0.006538426	0.232003415	4	O7	H58_C33_O7	0	33	58	7	0	0
8762	568.152246	0.011658926	0.075101349	24	O7	H24_C36_O7	0	36	24	7	0	0
8772	568.339996	0.014848165	-0.014461414	10	O7	H48_C34_O7	0	34	48	7	0	0
8777	568.433956	0.00790916	0.090313043	3	O7	H60_C33_O7	0	33	60	7	0	0
8802	570.073696	0.017056982	-0.450750494	30	O7	H14_C37_O7	0	37	14	7	0	0
8812	570.168036	0.009118587	0.320247696	23	O7	H26_C36_O7	0	36	26	7	0	0
8821	570.355756	0.016526157	0.178322037	9	O7	H50_C34_O7	0	34	50	7	0	0
8826	570.449486	0.007797194	-0.120496208	2	O7	H62_C33_O7	0	33	62	7	0	0
8845	572.089436	0.023090526	-0.291973579	29	O7	H16_C37_O7	0	37	16	7	0	0
8859	572.277196	0.009164784	-0.363325678	15	O7	H40_C35_O7	0	35	40	7	0	0
8863	572.371406	0.017714879	0.177564775	8	O7	H52_C34_O7	0	34	52	7	0	0
8896	574.105066	0.016027526	-0.325914212	28	O7	H18_C37_O7	0	37	18	7	0	0
8906	574.198896	0.007805718	-0.448543182	21	O7	H30_C36_O7	0	36	30	7	0	0
8915	574.386886	0.015335602	-0.119154879	7	O7	H54_C34_O7	0	34	54	7	0	0
8941	576.120916	0.011619616	0.022247066	27	O7	H20_C37_O7	0	37	20	7	0	0
8948	576.214956	0.007496811	0.264437773	20	O7	H32_C36_O7	0	36	32	7	0	0
8953	576.308526	0.010545767	-0.308985538	13	O7	H44_C35_O7	0	35	44	7	0	0
8958	576.402496	0.009925312	-0.188262543	6	O7	H56_C34_O7	0	34	56	7	0	0
8984	578.136776	0.00977133	0.385277341	26	O7	H22_C37_O7	0	37	22	7	0	0
8996	578.324336	0.012080498	-0.031375128	12	O7	H46_C35_O7	0	35	46	7	0	0
9001	578.418346	0.008446948	0.158036135	5	O7	H58_C34_O7	0	34	58	7	0	0
9031	580.245826	0.006464273	-0.478719514	18	O7	H36_C36_O7	0	36	36	7	0	0
9037	580.340006	0.01448633	0.003068891	11	O7	H48_C35_O7	0	35	48	7	0	0
9055	582.073696	0.011903946	-0.441457846	31	O7	H14_C38_O7	0	38	14	7	0	0
9070	582.355566	0.012524646	-0.151613559	10	O7	H50_C35_O7	0	35	50	7	0	0
9085	584.089446	0.015055565	-0.26885437	30	O7	H16_C38_O7	0	38	16	7	0	0
9096	584.371266	0.016296783	-0.065655179	9	O7	H52_C35_O7	0	35	52	7	0	0
9101	584.465286	0.008558258	0.138911586	2	O7	H64_C34_O7	0	34	64	7	0	0
9123	586.105406	0.016417212	0.260859222	29	O7	H18_C38_O7	0	38	18	7	0	0
9130	586.292996	0.007354177	-0.09892153	15	O7	H42_C36_O7	0	36	42	7	0	0
9134	586.387106	0.015492578	0.258462368	8	O7	H54_C35_O7	0	35	54	7	0	0
9139	586.480916	0.007154417	0.104206289	1	O7	H66_C34_O7	0	34	66	7	0	0
9163	588.120846	0.009488357	-0.097230017	28	O7	H20_C38_O7	0	38	20	7	0	0
9175	588.308416	0.0076836	-0.489659832	14	O7	H44_C36_O7	0	36	44	7	0	0
9178	588.402776	0.016358989	0.291441521	7	O7	H56_C35_O7	0	35	56	7	0	0
9206	590.136576	0.008075544	0.038538536	27	O7	H22_C38_O7	0	38	22	7	0	0
9215	590.324206	0.010202726	-0.25095532	13	O7	H46_C36_O7	0	36	46	7	0	0
9220	590.418296	0.014385319	0.070138409	6	O7	H58_C35_O7	0	35	58	7	0	0
9251	592.340126	0.014601297	0.205593028	12	O7	H48_C36_O7	0	36	48	7	0	0
9256	592.434176	0.008452848	0.458003625	5	O7	H60_C35_O7	0	35	60	7	0	0
9304	594.355596	0.015700364	-0.09807765	11	O7	H50_C36_O7	0	36	50	7	0	0
9309	594.449816	0.006431425	0.439503879	4	O7	H62_C35_O7	0	35	62	7	0	0
9330	596.089696	0.025993666	0.155958072	31	O7	H16_C39_O7	0	39	16	7	0	0
9344	596.371106	0.0149319	-0.332623425	10	O7	H52_C36_O7	0	36	52	7	0	0
9373	598.105276	0.019747923	0.038272526	30	O7	H18_C39_O7	0	39	18	7	0	0
9390	598.387186	0.017092988	0.386971856	9	O7	H54_C36_O7	0	36	54	7	0	0
9414	600.120706	0.009113786	-0.328572232	29	O7	H20_C39_O7	0	39	20	7	0	0
9429	600.402486	0.018979605	-0.197392587	8	O7	H56_C36_O7	0	36	56	7	0	0
9456	602.136596	0.020812348	0.070985554	28	O7	H22_C39_O7	0	39	22	7	0	0
9466	602.324326	0.007918797	-0.046727317	14	O7	H46_C37_O7	0	37	46	7	0	0
9469	602.418446	0.020651417	0.317737615	7	O7	H58_C36_O7	0	36	58	7	0	0
9498	604.339926	0.012126374	-0.129428814	13	O7	H48_C37_O7	0	37	48	7	0	0
9503	604.434026	0.011422377	0.20074482	6	O7	H60_C36_O7	0	36	60	7	0	0
9532	606.355896	0.013863801	0.39862233	12	O7	H50_C37_O7	0	37	50	7	0	0
9556	608.089346	0.016442337	-0.422692819	32	O7	H16_C40_O7	0	40	16	7	0	0
9576	608.371156	0.016358969	-0.243875796	11	O7	H52_C37_O7	0	37	52	7	0	0
9598	610.105136	0.013943516	-0.191948884	31	O7	H18_C40_O7	0	40	18	7	0	0
