exp	town	abundance	mw	error	C	H	O	N	S	y
SRFA	1	0.030955301	614.257386	-0.114735291	29	42	14	0	0	5
SRFA	1	0.042510275	602.272596	-0.193528646	32	42	11	0	0	6
SRFA	1	0.066275328	838.122916	0.051122573	38	30	22	0	0	3
SRFA	1	0.067151459	828.102346	0.251516012	36	28	23	0	0	3
SRFA	1	0.232397732	542.033276	0.010919994	24	14	15	0	0	8
SRFA	1	0.186902638	650.184596	-0.137593232	30	34	16	0	0	8
SRFA	1	0.021472179	448.049076	0.347830201	16	16	15	0	0	6
SRFA	1	0.176086402	542.178796	-0.029718979	28	30	11	0	0	9
SRFA	1	0.018672542	555.028416	-0.185673377	24	13	15	1	0	3
SRFA	1	0.006332536	288.157246	-0.148151749	14	24	6	0	0	7
SRFA	1	0.017901945	509.096036	0.442517686	25	19	11	1	0	4
SRFA	1	0.119034344	430.017266	0.092989289	19	10	12	0	0	8
SRFA	1	0.01767893	530.287936	-0.061545809	30	42	8	0	0	6
SRFA	1	0.045658373	624.278186	-0.009468535	31	44	13	0	0	6
SRFA	1	0.372053014	586.059396	-0.151638214	26	18	16	0	0	8
SRFA	1	0.334905059	560.152976	-0.027347886	27	28	13	0	0	8
SRFA	1	0.067593507	590.018116	0.172874353	24	14	18	0	0	7
SRFA	1	0.022994456	816.153826	0.057211029	40	32	19	0	0	3
SRFA	1	0.023143797	455.142866	0.230833015	20	25	11	1	0	6
SRFA	1	0.044065407	644.195416	0.257414126	28	36	17	0	0	6
SRFA	1	0.280091118	526.205016	-0.02071626	25	34	12	0	0	9
SRFA	1	0.020481553	846.054586	0.058217284	30	26	25	2	1	1
SRFA	1	0.097604976	386.136576	0.058898849	21	22	7	0	0	9
SRFA	1	0.067860329	626.017996	-0.028754765	27	14	18	0	0	7
SRFA	1	0.028892411	730.080206	0.332093649	27	26	20	2	1	1
SRFA	1	0.055988754	670.262436	-0.157903821	35	42	13	0	0	5
SRFA	1	0.030985169	680.246826	-0.096675203	36	40	13	0	0	4
SRFA	1	0.016318438	357.069676	0.22424755	14	15	10	1	0	8
SRFA	1	0.10170288	418.111176	0.118492408	17	22	12	0	0	8
SRFA	1	0.02766981	830.336116	0.018256462	42	54	17	0	0	4
SRFA	1	0.038322767	452.241106	0.193668817	24	36	8	0	0	8
SRFA	1	0.029795423	369.106026	0.120734956	16	19	9	1	0	8
SRFA	1	0.010983497	401.132336	0.348453584	17	23	10	1	0	6
SRFA	1	0.024083647	876.196476	0.49970185	39	40	23	0	0	3
SRFA	1	0.119213553	338.172976	0.110106374	18	26	6	0	0	9
SRFA	1	0.054152861	850.122916	0.050400947	39	30	22	0	0	5
SRFA	1	0.076362782	578.033196	-0.128160459	27	14	15	0	0	8
SRFA	1	0.04365721	509.080546	-0.016963917	21	19	14	1	0	4
SRFA	1	0.066926453	342.204266	0.079154478	18	30	6	0	0	9
SRFA	1	0.024147365	834.200806	0.091669775	41	38	19	0	0	4
SRFA	1	0.010392855	298.047776	0.126915894	16	10	6	0	0	8
SRFA	1	0.019101149	492.101846	0.450307191	21	20	12	2	0	4
SRFA	1	0.01390161	470.094076	-0.464589986	34	14	3	0	0	2
SRFA	1	0.038900217	704.028206	0.394923098	24	20	21	2	1	1
SRFA	1	0.070428986	652.179056	-0.230162252	33	32	14	0	0	6
SRFA	1	0.77539187	452.168246	-0.003093981	22	28	10	0	0	9
SRFA	1	0.661877151	478.147526	0.029352865	23	26	11	0	0	9
SRFA	1	0.017269737	864.305206	0.013089126	41	52	20	0	0	3
SRFA	1	0.100755066	596.152846	-0.243761312	30	28	13	0	0	7
SRFA	1	0.039316379	425.095846	0.083002458	18	19	11	1	0	7
SRFA	1	0.102977252	374.027456	0.158456282	17	10	10	0	0	9
SRFA	1	0.075849051	592.085136	-0.286551696	29	20	14	0	0	8
SRFA	1	0.020491509	770.118586	-0.272395711	53	22	5	0	1	2
SRFA	1	0.171920798	598.132206	-0.083401294	29	26	14	0	0	7
SRFA	1	0.15311584	646.226026	-0.201677114	32	38	14	0	0	8
SRFA	1	0.32380209	592.179126	-0.135274947	28	32	14	0	0	7
SRFA	1	0.013852826	421.028186	0.144740903	17	11	12	1	0	5
SRFA	1	0.363036829	618.085646	-0.086811594	27	22	17	0	0	7
SRFA	1	0.476392252	488.059136	0.092458058	22	16	13	0	0	9
SRFA	1	0.081468236	628.091356	0.281788626	25	24	19	0	0	7
SRFA	1	0.197193195	430.162816	0.111481044	23	26	8	0	0	9
SRFA	1	0.011746129	374.209316	-0.022107948	22	30	5	0	0	8
SRFA	1	0.032466627	804.065666	-0.107218855	33	24	24	0	0	2
SRFA	1	0.487702307	394.053636	0.062120985	17	14	11	0	0	9
SRFA	1	0.067000127	505.085656	0.031685715	22	19	13	1	0	4
SRFA	1	0.2144928	644.137636	-0.154064899	30	28	16	0	0	7
SRFA	1	0.016916795	411.152926	-0.013761303	19	25	9	1	0	6
SRFA	1	0.016084471	408.084606	0.216437961	22	16	8	0	0	8
SRFA	1	0.05741844	826.159406	0.178342096	38	34	21	0	0	5
SRFA	1	0.022349554	270.146796	0.266606901	14	22	5	0	0	8
SRFA	1	0.061838919	678.158336	-0.198586367	34	30	15	0	0	4
SRFA	1	0.295622531	632.064876	-0.139579026	27	20	18	0	0	8
SRFA	1	0.17527399	634.225996	-0.252794747	31	38	14	0	0	8
SRFA	1	0.026483051	351.059046	0.042118271	15	13	9	1	0	8
SRFA	1	0.609452657	354.095116	0.094920824	16	18	9	0	0	9
